[2026-08-25T08:57:29+02:00] rss=0GB peak=0GB free=335GB
[2026-08-25T08:57:59+02:00] rss=24GB peak=24GB free=285GB
[2026-08-25T08:58:29+02:00] rss=38GB peak=38GB free=281GB
[2026-08-25T08:58:59+02:00] rss=40GB peak=40GB free=280GB
[2026-08-25T08:59:29+02:00] rss=41GB peak=41GB free=279GB
[2026-08-25T08:59:59+02:00] rss=42GB peak=42GB free=278GB
[2026-08-25T09:00:29+02:00] rss=44GB peak=44GB free=275GB
[2026-08-25T09:00:59+02:00] rss=46GB peak=46GB free=273GB
[2026-08-25T09:01:29+02:00] rss=47GB peak=47GB free=271GB
[2026-08-25T09:01:59+02:00] rss=49GB peak=49GB free=206GB
[2026-08-25T09:02:29+02:00] rss=50GB peak=50GB free=180GB
[2026-08-25T09:02:59+02:00] rss=52GB peak=52GB free=76GB
[2026-08-25T09:03:29+02:00] rss=53GB peak=53GB free=102GB
[2026-08-25T09:03:59+02:00] rss=56GB peak=56GB free=161GB
[2026-08-25T09:04:29+02:00] rss=58GB peak=58GB free=95GB
[2026-08-25T09:04:59+02:00] rss=61GB peak=61GB free=125GB
[2026-08-25T09:05:29+02:00] rss=61GB peak=61GB free=201GB
[2026-08-25T09:05:59+02:00] rss=61GB peak=61GB free=186GB
[2026-08-25T09:06:29+02:00] rss=61GB peak=61GB free=187GB
[2026-08-25T09:06:59+02:00] rss=61GB peak=61GB free=186GB
[2026-08-25T09:07:29+02:00] rss=69GB peak=69GB free=177GB
[2026-08-25T09:07:59+02:00] rss=70GB peak=70GB free=170GB
[2026-08-25T09:08:29+02:00] rss=98GB peak=98GB free=115GB
[2026-08-25T09:08:59+02:00] rss=98GB peak=98GB free=97GB
[2026-08-25T09:09:29+02:00] rss=98GB peak=98GB free=103GB
[2026-08-25T09:09:59+02:00] rss=52GB peak=98GB free=102GB
[2026-08-25T09:10:29+02:00] rss=54GB peak=98GB free=185GB
[2026-08-25T09:10:59+02:00] rss=65GB peak=98GB free=175GB
[2026-08-25T09:11:29+02:00] rss=67GB peak=98GB free=170GB
[2026-08-25T09:11:59+02:00] rss=69GB peak=98GB free=133GB
[2026-08-25T09:12:29+02:00] rss=70GB peak=98GB free=104GB
[2026-08-25T09:12:59+02:00] rss=72GB peak=98GB free=80GB
[2026-08-25T09:13:29+02:00] rss=73GB peak=98GB free=90GB
[2026-08-25T09:13:59+02:00] rss=74GB peak=98GB free=76GB
[2026-08-25T09:14:29+02:00] rss=76GB peak=98GB free=105GB
[2026-08-25T09:14:59+02:00] rss=78GB peak=98GB free=101GB
[2026-08-25T09:15:29+02:00] rss=79GB peak=98GB free=74GB
[2026-08-25T09:15:59+02:00] rss=79GB peak=98GB free=25GB
[2026-08-25T09:16:29+02:00] rss=79GB peak=98GB free=1GB
[2026-08-25T09:16:59+02:00] rss=85GB peak=98GB free=309GB
