lambda,score,label,lambda_str
0.0,0.6112997273896177,celltype,0e+00
0.0,0.6133985619745912,celltype,0e+00
0.0,0.6159785777989444,celltype,0e+00
1e-09,0.6060583351723907,celltype,1e-09
1e-09,0.6078316931246986,celltype,1e-09
1e-09,0.6117633067746338,celltype,1e-09
1e-07,0.6013211505035048,celltype,1e-07
1e-07,0.6063205354500921,celltype,1e-07
1e-07,0.6134516756014086,celltype,1e-07
0.001,0.6142706421226753,celltype,1e-03
0.001,0.6147936757324778,celltype,1e-03
0.001,0.6140211980913131,celltype,1e-03
1.0,0.7286194346524664,celltype,1e+00
1.0,0.7328521641076366,celltype,1e+00
1.0,0.7271621330961835,celltype,1e+00
10.0,0.7268232679070612,celltype,1e+01
10.0,0.7312509488369814,celltype,1e+01
10.0,0.7349142337395393,celltype,1e+01
100.0,0.7370925409509816,celltype,1e+02
100.0,0.7305457635622326,celltype,1e+02
100.0,0.7363529520351921,celltype,1e+02
0.0,0.6961026183412904,spatial_domain,0e+00
0.0,0.7460941783147149,spatial_domain,0e+00
0.0,0.7288725488028618,spatial_domain,0e+00
1e-09,0.7364254929611795,spatial_domain,1e-09
1e-09,0.7462870648857113,spatial_domain,1e-09
1e-09,0.7333607763084921,spatial_domain,1e-09
1e-07,0.7385039429105027,spatial_domain,1e-07
1e-07,0.7404342073593014,spatial_domain,1e-07
1e-07,0.7343123856536344,spatial_domain,1e-07
0.001,0.7347125947168273,spatial_domain,1e-03
0.001,0.7380196912336102,spatial_domain,1e-03
0.001,0.736531929281532,spatial_domain,1e-03
1.0,0.4144029960478437,spatial_domain,1e+00
1.0,0.41288519161568726,spatial_domain,1e+00
1.0,0.4080722836823642,spatial_domain,1e+00
10.0,0.39211684230244703,spatial_domain,1e+01
10.0,0.41303350991408316,spatial_domain,1e+01
10.0,0.3982988313579334,spatial_domain,1e+01
100.0,0.411758863754408,spatial_domain,1e+02
100.0,0.41257754366417737,spatial_domain,1e+02
100.0,0.3964375789825059,spatial_domain,1e+02
