dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,neighbor_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb
crc,crc_231,REF,CRC,50,cellina,Endothelial,Endothelial,0.7871788715486195,0.9629575844014183,0.5,1.0,0.5,1.0,0.8938511326860842,94.15570719643596,100.18309771336968,9.48294147422923,168.3105859158173,4921.682374082846,1.4697654768474826,200
crc,crc_231,REF,CRC,50,cellina,Endothelial,Epithelial,0.7958223289315726,0.9633355846471058,0.48,1.0,0.48,1.0,0.9786407766990292,94.15288681593063,99.8304626238691,9.874965723592457,168.4638217151171,4967.134430463145,1.4423631439624254,200
crc,crc_231,REF,CRC,50,cellina,Endothelial,Fibroblast,0.7866986794717887,0.963147413395189,0.5,1.0,0.5,1.0,0.9786407766990292,94.73502110403506,100.6428662334046,9.305224792427024,170.8852109560121,4930.3859447197165,1.4599691155294363,200
crc,crc_231,REF,CRC,50,cellina,Endothelial,Myeloid,0.7903481392557022,0.9630187036022663,0.5,1.0,0.5,1.0,0.8938511326860842,94.96539417987465,101.09521202339023,9.333343379735012,180.3021407962659,4923.143301843585,1.468349001190985,200
crc,crc_231,REF,CRC,50,cellina,Endothelial,T_cell,0.7853541416566626,0.9628084557479939,0.5,1.0,0.5,1.0,0.9563004206187105,94.58251927069364,99.68782851727553,9.147322002114917,167.9891490388164,4920.3898490309075,1.4759171154111712,200
crc,crc_231,REF,CRC,50,cellina,Epithelial,Endothelial,0.7599039615846337,0.8048743565188935,0.48,1.0,0.48,0.96,0.7432540887300271,74.76678188376277,77.6143529123539,6.642541657854629,183.1312371348806,100560.63245944834,3.194854785982135,200
crc,crc_231,REF,CRC,50,cellina,Epithelial,Epithelial,0.9181752701080431,0.9665889462204891,0.76,1.0,0.76,0.98,0.9223689128749439,74.4336140412493,76.53668742003306,6.565904478440885,155.11296609771873,95795.2968799954,1.1779431004055143,200
crc,crc_231,REF,CRC,50,cellina,Epithelial,Fibroblast,0.7333973589435773,0.778388027706195,0.46,0.9565217391304348,0.44,0.96,0.7405806949613033,74.99284081088743,78.0441166817091,6.543553826613602,191.475781019693,101187.22632857533,3.392772779089874,200
crc,crc_231,REF,CRC,50,cellina,Epithelial,Myeloid,0.8095558223289315,0.8995864378235562,0.64,1.0,0.64,0.98,0.7640605918661965,74.12034543696777,77.17992993541581,6.435210882150471,163.33320902314898,98008.37577470433,2.308827362098423,200
crc,crc_231,REF,CRC,50,cellina,Epithelial,T_cell,0.7301320528211284,0.7695923020791042,0.46,0.9565217391304348,0.44,0.94,0.7375584616782802,75.24590100925774,78.21437600655608,6.623782658926666,182.987334944009,100807.92094405572,3.3266415762426504,200
crc,crc_231,REF,CRC,50,cellina,Fibroblast,Endothelial,0.23236494597839136,0.3838369311969097,0.2,0.9,0.18,0.52,0.9179901046049356,91.2991993043185,98.69506242900852,6.79594174175281,166.96000678768445,41643.13347658486,1.0751871743590262,200
crc,crc_231,REF,CRC,50,cellina,Fibroblast,Epithelial,0.2329411764705882,0.3004739165640971,0.22,0.7272727272727273,0.16,0.54,0.9206825975279884,88.92661293889127,95.3652231245496,8.730537551651674,177.24830093640335,40528.5880026333,1.250691114913972,200
crc,crc_231,REF,CRC,50,cellina,Fibroblast,Fibroblast,0.24705882352941175,0.3944004500235371,0.18,0.8888888888888888,0.16,0.54,0.9184865006804325,91.48481348864937,98.88781266443137,6.899170851843768,162.30842791608416,41620.2648052576,1.068213579450102,200
crc,crc_231,REF,CRC,50,cellina,Fibroblast,Myeloid,0.24436974789915963,0.38445983524519217,0.26,0.8461538461538461,0.22,0.58,0.9187595886429584,90.44547967790524,97.12195112704775,7.167948494466981,153.4560543891617,41263.78285738373,1.0598475353842745,200
crc,crc_231,REF,CRC,50,cellina,Fibroblast,T_cell,0.24955582232893156,0.3906736210489784,0.18,0.7777777777777778,0.14,0.58,0.9180334866707897,92.0365566367793,98.84559550071398,6.748904378346969,158.29351583110036,41806.296118190956,1.0822392294467988,200
crc,crc_231,REF,CRC,50,cellina,Myeloid,Endothelial,0.6603121248499398,0.7403981655840074,0.18,0.8888888888888888,0.16,0.9,0.9864475073226578,82.75327299504968,83.81429129809582,7.47271400994885,176.98826631040552,13567.248819189317,1.5068477705797088,200
crc,crc_231,REF,CRC,50,cellina,Myeloid,Epithelial,0.7053541416566627,0.8176353496459998,0.24,1.0,0.24,0.94,0.9304310332010051,82.81485187973706,84.32859258603621,8.34433771820677,176.927503976325,13256.518913858585,1.2197438864050916,200
crc,crc_231,REF,CRC,50,cellina,Myeloid,Fibroblast,0.6431212484993997,0.7307916586262665,0.18,0.8888888888888888,0.16,0.88,0.9862215085418619,83.07501461103593,84.40515030298079,7.4269077829442995,178.6106603694319,13581.522187811323,1.5278293985855678,200
crc,crc_231,REF,CRC,50,cellina,Myeloid,Myeloid,0.6808643457382952,0.7840990846766122,0.2,1.0,0.2,0.94,0.9864683229998363,82.53605831076028,83.2718943239952,7.7861134164881545,178.1162775538745,13471.98336562656,1.3775011880070909,200
crc,crc_231,REF,CRC,50,cellina,Myeloid,T_cell,0.636686674669868,0.7260532095550589,0.18,0.8888888888888888,0.16,0.88,0.9853308949254352,83.3809858240783,84.28523486162828,7.387919427667953,177.98884516801908,13591.063703058886,1.5416031932331813,200
crc,crc_231,REF,CRC,50,cellina,T_cell,Endothelial,0.7224489795918367,0.7745579444005158,0.3,1.0,0.3,0.9,0.9768142824020404,97.42584329225667,105.79636361693197,5.960198450713942,113.51375044996925,19733.847311712943,0.9723792302385503,200
crc,crc_231,REF,CRC,50,cellina,T_cell,Epithelial,0.7411764705882352,0.810098085278644,0.3,1.0,0.3,0.88,0.9972328120811742,96.75594426814487,105.49796588982235,6.454515726558421,113.84876108196877,19953.422765945103,0.8091935226443359,200
crc,crc_231,REF,CRC,50,cellina,T_cell,Fibroblast,0.7369507803121248,0.7929583976431575,0.3,1.0,0.3,0.92,0.9523733054845684,96.81756284263274,105.57409367819653,6.068350922061906,110.58481316625405,19751.353325195523,0.9363500225014714,200
crc,crc_231,REF,CRC,50,cellina,T_cell,Myeloid,0.7364705882352941,0.7899576312463291,0.3,1.0,0.3,0.92,0.9553119578076558,96.85918727102595,105.36621964316552,6.074949030473796,110.35043820720189,19761.32596468412,0.9386409888013135,200
crc,crc_231,REF,CRC,50,cellina,T_cell,T_cell,0.7210084033613444,0.7733904426827952,0.3,1.0,0.3,0.9,0.9910632574873023,97.33889773701164,105.70721966839264,5.982792587863195,111.16172054244252,19716.131696706725,0.9760222818998124,200
crc,crc_232,REF,CRC,50,cellina,Endothelial,Endothelial,0.7293637454981992,0.7632455548724489,0.34,1.0,0.34,0.88,0.7383042495238078,100.61186044624097,108.71666057405464,7.009556445536083,174.90211646771178,7279.429585411781,1.0630361572040385,200
crc,crc_232,REF,CRC,50,cellina,Endothelial,Epithelial,0.7679711884753901,0.805717827010945,0.34,1.0,0.34,0.9,0.7339353499594548,100.56827704913903,109.14409428166759,6.974892813023651,174.4665124840464,7299.239386871413,0.8984253093543615,200
crc,crc_232,REF,CRC,50,cellina,Endothelial,Fibroblast,0.7793037214885953,0.8219842913135079,0.36,1.0,0.36,0.92,0.736229073081829,100.19672352513413,108.64944944582416,7.300272404379823,184.60694811730386,7242.295422313275,0.8386947271420435,200
crc,crc_232,REF,CRC,50,cellina,Endothelial,Myeloid,0.7583673469387756,0.8087845829290121,0.36,1.0,0.36,0.9,0.7340628166892823,100.02831348133634,108.54376505457807,6.816028274012592,178.45395118814116,7318.816632352908,0.8832343466982215,200
crc,crc_232,REF,CRC,50,cellina,Endothelial,T_cell,0.684609843937575,0.7361203515095858,0.32,1.0,0.32,0.88,0.7357738993338282,100.36268259958051,109.79281705750368,6.667730834769367,176.83220282539597,7342.590773626737,1.1575973417213365,200
crc,crc_232,REF,CRC,50,cellina,Epithelial,Endothelial,-0.1470828331332533,-0.10364131343122117,0.08,0.5,0.04,0.4,0.6900774404458855,86.96493731799644,92.55215231112385,9.345545631979835,299.02465871840207,50009.452329851454,6.438839821556733,200
crc,crc_232,REF,CRC,50,cellina,Epithelial,Epithelial,-0.22372148859543817,-0.2697998327013813,0.04,0.0,0.0,0.38,0.696909109346873,86.17444099961169,91.61033315588688,9.458002836648411,306.7753530871811,49913.64912979757,6.607789815883368,200
crc,crc_232,REF,CRC,50,cellina,Epithelial,Fibroblast,0.4257863145258103,0.33866773248762244,0.1,0.6,0.06,0.68,0.6904525844743964,87.95310875468608,93.48836804263155,8.88569666525284,273.55590474372383,49697.0836908087,5.8696954773234085,200
crc,crc_232,REF,CRC,50,cellina,Epithelial,Myeloid,0.3989915966386554,0.32161742321092907,0.12,0.6666666666666666,0.08,0.64,0.6848522200487687,87.95668873645425,93.77283989319584,8.746469276670798,275.79284799552926,49808.42396736794,5.868835266334574,200
crc,crc_232,REF,CRC,50,cellina,Epithelial,T_cell,-0.24494597839135654,-0.23809061621359592,0.08,0.5,0.04,0.4,0.6891127843725716,87.01601004647395,92.17472661442325,9.506706352161968,299.614804430246,50141.66462104002,6.608767989184669,200
crc,crc_232,REF,CRC,50,cellina,Fibroblast,Endothelial,0.34751500600240093,0.4626866651516653,0.04,1.0,0.04,0.56,0.6593863251993235,93.15142743222938,99.08873867343738,7.782623796048403,631.8068546934139,28315.46216464006,3.4868855785034465,200
crc,crc_232,REF,CRC,50,cellina,Fibroblast,Epithelial,0.26857142857142857,0.3796537363996768,0.12,1.0,0.12,0.46,0.6577434162841266,93.6589067555982,100.44946970219613,7.8023150463297055,609.0775503079191,28355.394935250057,3.6451815387705593,200
crc,crc_232,REF,CRC,50,cellina,Fibroblast,Fibroblast,0.6105642256902761,0.7306777219663998,0.1,1.0,0.1,0.76,0.6624788596279294,91.45540038343017,96.56734194237934,8.094779542462833,590.5499162845633,28121.49288736105,2.832141968089944,200
crc,crc_232,REF,CRC,50,cellina,Fibroblast,Myeloid,0.5861704681872748,0.6766198931889609,0.14,1.0,0.14,0.66,0.6602561005073689,92.82112289533184,99.62656948844078,7.598163203088282,585.1204191138546,28162.2570520811,2.977596885514754,200
crc,crc_232,REF,CRC,50,cellina,Fibroblast,T_cell,-0.009843937575030014,0.10361689518219026,0.06,0.6666666666666666,0.04,0.42,0.6572602077796569,93.79746409803921,99.75187756779239,7.814778308096007,676.8212219443587,28455.481649253477,3.941469833686151,200
crc,crc_232,REF,CRC,50,cellina,Myeloid,Endothelial,0.7747899159663866,0.8667204546420566,0.34,1.0,0.34,0.98,0.8520357497517379,87.79974499295331,89.38214331104835,8.048408004828817,216.28940106060736,3933.3951571147627,1.2510052156553924,200
crc,crc_232,REF,CRC,50,cellina,Myeloid,Epithelial,0.7926530612244896,0.88138155624676,0.34,1.0,0.34,1.0,0.9994041708043694,87.50372070434237,88.88914730310913,8.371488492681651,209.33652742336258,3924.046897382147,1.1392002933612217,200
crc,crc_232,REF,CRC,50,cellina,Myeloid,Fibroblast,0.8225210084033613,0.9059450339191554,0.36,1.0,0.36,1.0,0.8526315789473685,86.22302413980228,88.86618895159641,8.6301254702981,203.42968535780602,3814.2605352968235,0.9526373406397355,200
crc,crc_232,REF,CRC,50,cellina,Myeloid,Myeloid,0.7907322929171668,0.8906817786329321,0.36,1.0,0.36,1.0,0.8526315789473685,86.71875995956188,88.48425400560276,8.22014142927403,209.9778072921162,3872.1515243111767,1.0771636773079276,200
crc,crc_232,REF,CRC,50,cellina,Myeloid,T_cell,0.7691236494597838,0.8486871274324209,0.3,1.0,0.3,0.98,0.8508440913604767,88.77677847487762,90.63457004906556,7.66061237595771,213.44037037860807,3983.9551403151795,1.377460286957742,200
crc,crc_232,REF,CRC,50,cellina,T_cell,Endothelial,0.803985594237695,0.9704958355953262,0.44,1.0,0.44,0.98,0.9949874686716792,104.38051506089236,112.87430638440965,6.405021998704117,133.59796814860053,6891.309705432844,0.6568401769351107,200
crc,crc_232,REF,CRC,50,cellina,T_cell,Epithelial,0.7943817527010805,0.9728365354435073,0.44,1.0,0.44,0.98,0.9949874686716792,103.04236402966058,111.77920328738772,6.696677089279303,137.94060446387144,6832.432300078288,0.6100997642079816,200
crc,crc_232,REF,CRC,50,cellina,T_cell,Fibroblast,0.8133973589435773,0.9757890877519094,0.48,1.0,0.48,0.98,0.9957035445757251,103.31210640757033,112.30008051091791,7.645081820178841,149.01900919069823,6793.494619381572,0.5512606852073173,200
crc,crc_232,REF,CRC,50,cellina,T_cell,Myeloid,0.7911164465786314,0.9732226701419843,0.46,1.0,0.46,0.98,0.9957035445757251,103.00443480406179,111.92208948361016,6.556183388529421,138.20866535539713,6835.5846154683495,0.6128889169015448,200
crc,crc_232,REF,CRC,50,cellina,T_cell,T_cell,0.7955342136854742,0.9676525955986058,0.44,1.0,0.44,0.98,0.9953455066237021,104.80181187951344,113.40368743136348,6.138011846371054,134.68378741421563,6929.995256104174,0.710731791845604,200
crc,crc_232,REF,CRC,50,cellina,Endothelial,Endothelial,0.7293637454981992,0.7632455548724489,0.34,1.0,0.34,0.88,0.7383042495238078,100.61186044624097,108.71666057405464,7.009556445536083,174.90211646771178,7279.429585411781,1.0630361572040385,200
crc,crc_232,REF,CRC,50,cellina,Endothelial,Epithelial,0.7679711884753901,0.805717827010945,0.34,1.0,0.34,0.9,0.7339353499594548,100.56827704913903,109.14409428166759,6.974892813023651,174.4665124840464,7299.239386871413,0.8984253093543615,200
crc,crc_232,REF,CRC,50,cellina,Endothelial,Fibroblast,0.7793037214885953,0.8219842913135079,0.36,1.0,0.36,0.92,0.736229073081829,100.19672352513413,108.64944944582416,7.300272404379823,184.60694811730386,7242.295422313275,0.8386947271420435,200
crc,crc_232,REF,CRC,50,cellina,Endothelial,Myeloid,0.7583673469387756,0.8087845829290121,0.36,1.0,0.36,0.9,0.7340628166892823,100.02831348133634,108.54376505457807,6.816028274012592,178.45395118814116,7318.816632352908,0.8832343466982215,200
crc,crc_232,REF,CRC,50,cellina,Endothelial,T_cell,0.684609843937575,0.7361203515095858,0.32,1.0,0.32,0.88,0.7357738993338282,100.36268259958051,109.79281705750368,6.667730834769367,176.83220282539597,7342.590773626737,1.1575973417213365,200
crc,crc_232,REF,CRC,50,cellina,Epithelial,Endothelial,-0.1470828331332533,-0.10364131343122117,0.08,0.5,0.04,0.4,0.6900774404458855,86.96493731799644,92.55215231112385,9.345545631979835,299.02465871840207,50009.452329851454,6.438839821556733,200
crc,crc_232,REF,CRC,50,cellina,Epithelial,Epithelial,-0.22372148859543817,-0.2697998327013813,0.04,0.0,0.0,0.38,0.696909109346873,86.17444099961169,91.61033315588688,9.458002836648411,306.7753530871811,49913.64912979757,6.607789815883368,200
crc,crc_232,REF,CRC,50,cellina,Epithelial,Fibroblast,0.4257863145258103,0.33866773248762244,0.1,0.6,0.06,0.68,0.6904525844743964,87.95310875468608,93.48836804263155,8.88569666525284,273.55590474372383,49697.0836908087,5.8696954773234085,200
crc,crc_232,REF,CRC,50,cellina,Epithelial,Myeloid,0.3989915966386554,0.32161742321092907,0.12,0.6666666666666666,0.08,0.64,0.6848522200487687,87.95668873645425,93.77283989319584,8.746469276670798,275.79284799552926,49808.42396736794,5.868835266334574,200
crc,crc_232,REF,CRC,50,cellina,Epithelial,T_cell,-0.24494597839135654,-0.23809061621359592,0.08,0.5,0.04,0.4,0.6891127843725716,87.01601004647395,92.17472661442325,9.506706352161968,299.614804430246,50141.66462104002,6.608767989184669,200
crc,crc_232,REF,CRC,50,cellina,Fibroblast,Endothelial,0.34751500600240093,0.4626866651516653,0.04,1.0,0.04,0.56,0.6593863251993235,93.15142743222938,99.08873867343738,7.782623796048403,631.8068546934139,28315.46216464006,3.4868855785034465,200
crc,crc_232,REF,CRC,50,cellina,Fibroblast,Epithelial,0.26857142857142857,0.3796537363996768,0.12,1.0,0.12,0.46,0.6577434162841266,93.6589067555982,100.44946970219613,7.8023150463297055,609.0775503079191,28355.394935250057,3.6451815387705593,200
crc,crc_232,REF,CRC,50,cellina,Fibroblast,Fibroblast,0.6105642256902761,0.7306777219663998,0.1,1.0,0.1,0.76,0.6624788596279294,91.45540038343017,96.56734194237934,8.094779542462833,590.5499162845633,28121.49288736105,2.832141968089944,200
crc,crc_232,REF,CRC,50,cellina,Fibroblast,Myeloid,0.5861704681872748,0.6766198931889609,0.14,1.0,0.14,0.66,0.6602561005073689,92.82112289533184,99.62656948844078,7.598163203088282,585.1204191138546,28162.2570520811,2.977596885514754,200
crc,crc_232,REF,CRC,50,cellina,Fibroblast,T_cell,-0.009843937575030014,0.10361689518219026,0.06,0.6666666666666666,0.04,0.42,0.6572602077796569,93.79746409803921,99.75187756779239,7.814778308096007,676.8212219443587,28455.481649253477,3.941469833686151,200
crc,crc_232,REF,CRC,50,cellina,Myeloid,Endothelial,0.7747899159663866,0.8667204546420566,0.34,1.0,0.34,0.98,0.8520357497517379,87.79974499295331,89.38214331104835,8.048408004828817,216.28940106060736,3933.3951571147627,1.2510052156553924,200
crc,crc_232,REF,CRC,50,cellina,Myeloid,Epithelial,0.7926530612244896,0.88138155624676,0.34,1.0,0.34,1.0,0.9994041708043694,87.50372070434237,88.88914730310913,8.371488492681651,209.33652742336258,3924.046897382147,1.1392002933612217,200
crc,crc_232,REF,CRC,50,cellina,Myeloid,Fibroblast,0.8225210084033613,0.9059450339191554,0.36,1.0,0.36,1.0,0.8526315789473685,86.22302413980228,88.86618895159641,8.6301254702981,203.42968535780602,3814.2605352968235,0.9526373406397355,200
crc,crc_232,REF,CRC,50,cellina,Myeloid,Myeloid,0.7907322929171668,0.8906817786329321,0.36,1.0,0.36,1.0,0.8526315789473685,86.71875995956188,88.48425400560276,8.22014142927403,209.9778072921162,3872.1515243111767,1.0771636773079276,200
crc,crc_232,REF,CRC,50,cellina,Myeloid,T_cell,0.7691236494597838,0.8486871274324209,0.3,1.0,0.3,0.98,0.8508440913604767,88.77677847487762,90.63457004906556,7.66061237595771,213.44037037860807,3983.9551403151795,1.377460286957742,200
crc,crc_232,REF,CRC,50,cellina,T_cell,Endothelial,0.803985594237695,0.9704958355953262,0.44,1.0,0.44,0.98,0.9949874686716792,104.38051506089236,112.87430638440965,6.405021998704117,133.59796814860053,6891.309705432844,0.6568401769351107,200
crc,crc_232,REF,CRC,50,cellina,T_cell,Epithelial,0.7943817527010805,0.9728365354435073,0.44,1.0,0.44,0.98,0.9949874686716792,103.04236402966058,111.77920328738772,6.696677089279303,137.94060446387144,6832.432300078288,0.6100997642079816,200
