,KO,Pearson,Precision,E-distance,RMSE_LFC,type,baseline
0,MAP2K2,0.8915029419929468,0.8,5.071262117912314,0.5395697424092011,full,Cellina-GAT
1,IRAK1,0.6912475645421423,1.0,5.080501880398228,0.5044636208718131,full,Cellina-GAT
2,IRF7,0.8630391185354062,0.9,5.004405730111908,0.27840081649632525,full,Cellina-GAT
3,PELI1,0.5928788993284845,0.7,4.918197697354745,0.4542324482478022,full,Cellina-GAT
4,IRF3,0.7105612927182939,0.8,4.854063656035999,0.37382380587468766,full,Cellina-GAT
5,IRF5,0.3455752944076594,0.6,4.91458420942313,0.40448261429251237,full,Cellina-GAT
6,NFKBIA,0.11997357785533379,0.5,5.090015004068251,0.635495301901158,full,Cellina-GAT
7,LBP,0.7396794721265864,0.9,5.040317669586294,0.3518744452326491,full,Cellina-GAT
8,MAP2K3,0.2173367038489257,0.4,4.905414259662567,0.5814004597170089,full,Cellina-GAT
9,MAP2K2,0.9196566160515058,0.9,4.770495096494973,0.465881712402201,KO-specific,Cellina-GAT
10,IRAK1,0.8506600276536881,1.0,5.0721606823882,0.28474746318011035,KO-specific,Cellina-GAT
11,IRF7,0.8511142031347243,0.8,4.91448647767226,0.2405352381527997,KO-specific,Cellina-GAT
12,PELI1,-0.33699904594535535,0.4,4.8756131818080375,0.526092646109932,KO-specific,Cellina-GAT
13,IRF3,0.20583656766866995,0.4,4.844677238961573,0.38795147822308435,KO-specific,Cellina-GAT
14,IRF5,-0.4151849720077266,0.4,4.773444572734915,0.43766337018590534,KO-specific,Cellina-GAT
15,NFKBIA,0.014115722711882831,0.3,4.9377777587457885,0.49353482064552623,KO-specific,Cellina-GAT
16,LBP,0.5122509093404412,0.7,5.01121688656376,0.3160790087198973,KO-specific,Cellina-GAT
17,MAP2K3,-0.09695547502318773,0.3,4.9515398093346,0.41353682359799987,KO-specific,Cellina-GAT
18,MAP2K2,-0.18705903734884075,0.5,4.822826248787315,0.8296784369273569,full,Cellina-GAT-random
19,MAP2K2,-0.3840087241126807,0.4,4.839481024117316,0.7932971693333101,KO-specific,Cellina-GAT-random
20,IRAK1,0.40232996937026877,0.58,4.916327956281436,0.6007862370021507,full,Cellina-GAT-random
21,IRAK1,0.7144973275249435,0.7400000000000001,4.876125806934181,0.3766375113716961,KO-specific,Cellina-GAT-random
22,IRF7,0.789728189217212,0.74,4.84070044318523,0.3919647267925956,full,Cellina-GAT-random
23,IRF7,0.7971858089063939,0.6799999999999999,4.851437297951089,0.2422969606057963,KO-specific,Cellina-GAT-random
24,PELI1,0.11713539886462647,0.54,4.952470667979532,0.5350274018555524,full,Cellina-GAT-random
25,PELI1,-0.3968051714877646,0.26,4.824553465847562,0.5435320632346322,KO-specific,Cellina-GAT-random
26,IRF3,0.5592991631644091,0.6799999999999999,4.812709264606275,0.4292236220620234,full,Cellina-GAT-random
27,IRF3,0.38336866737910535,0.5,4.856709168750212,0.3246018370396846,KO-specific,Cellina-GAT-random
28,IRF5,-0.012322682623092013,0.52,4.962318609706124,0.4341440994561605,full,Cellina-GAT-random
29,IRF5,-0.6068055298149649,0.18,4.806023375687789,0.4344391470925196,KO-specific,Cellina-GAT-random
30,NFKBIA,-0.07644471789601213,0.5199999999999999,4.8655213160299,0.6540169846465723,full,Cellina-GAT-random
31,NFKBIA,-0.3729531249318979,0.26,4.87572906475102,0.5304877918479372,KO-specific,Cellina-GAT-random
32,LBP,0.7809066075426949,0.76,4.8481947182382275,0.35347243207970636,full,Cellina-GAT-random
33,LBP,0.7405398114792238,0.8400000000000001,4.90154472761841,0.22556805449484346,KO-specific,Cellina-GAT-random
34,MAP2K3,0.0414263929639765,0.48,4.84371904206894,0.6081282709997347,full,Cellina-GAT-random
35,MAP2K3,-0.5093165090154342,0.32,4.947097547522335,0.4628083328456628,KO-specific,Cellina-GAT-random
