,KO,Pearson,Precision,E-distance,RMSE_LFC,type,baseline
0,MAP2K2,0.8177654687293986,0.8,4.637908193523694,0.5409643980141993,full,Cellina-base
1,IRAK1,0.7348769238146589,0.9,4.5649071464502935,0.5235714100717327,full,Cellina-base
2,IRF7,0.863849514510097,0.9,4.747273233828812,0.29053594634901553,full,Cellina-base
3,PELI1,0.3450022189011648,0.6,4.777268287363447,0.48333735886790824,full,Cellina-base
4,IRF3,0.7498287353176651,0.8,4.570793815055931,0.33230599977164205,full,Cellina-base
5,IRF5,0.6135339947293009,0.8,4.647019805117951,0.3811360026196664,full,Cellina-base
6,NFKBIA,0.4800248194539776,0.7,4.51471360683946,0.5873258142753573,full,Cellina-base
7,LBP,0.4572756765261867,0.8,4.734508525654753,0.44721708272788063,full,Cellina-base
8,MAP2K3,0.1937540660547434,0.8,4.508415779595863,0.5819195266130089,full,Cellina-base
9,MAP2K2,0.855228215832991,0.9,4.939440025016479,0.44893873415955154,KO-specific,Cellina-base
10,IRAK1,0.8392502881254312,0.9,4.801833974646217,0.3072665088710582,KO-specific,Cellina-base
11,IRF7,0.8085372003710352,0.8,4.730080291537622,0.24961171609980654,KO-specific,Cellina-base
12,PELI1,-0.25552693272459553,0.4,4.548909822935379,0.5402822712717146,KO-specific,Cellina-base
13,IRF3,-0.06085443045884802,0.4,4.549389385029132,0.4418775031038157,KO-specific,Cellina-base
14,IRF5,0.20791347379217562,0.6,4.512043374244945,0.40601444514067797,KO-specific,Cellina-base
15,NFKBIA,0.39686180199095505,0.6,4.619644734472133,0.443180057789851,KO-specific,Cellina-base
16,LBP,-0.16591802535316177,0.6,4.6294014336669935,0.47166276505991006,KO-specific,Cellina-base
17,MAP2K3,0.266053860209489,0.8,4.487344896858918,0.3873575996282043,KO-specific,Cellina-base
18,MAP2K2,0.23875791717106518,0.7,-0.08374603285468432,0.7556271378473549,full,mean
19,MAP2K2,-0.059787262647497876,0.6,-0.08866275061826805,0.7103640719431733,KO-specific,mean
20,IRAK1,-0.30449568853134734,0.5,-0.1254803484303558,0.6531410537984647,full,mean
21,IRAK1,-0.46729598108628373,0.4,-0.10843292347296477,0.494064953816672,KO-specific,mean
22,IRF7,0.5794376987844116,0.8,-0.12588201172437188,0.46970514141438785,full,mean
23,IRF7,0.3203684636355141,0.7,-0.08049367429817238,0.326960953838006,KO-specific,mean
24,PELI1,0.4347007040691859,0.6,-0.08679562827068317,0.478861266739146,full,mean
25,PELI1,0.04858972028264854,0.4,-0.10849750820104802,0.44533901440593515,KO-specific,mean
26,IRF3,0.8340599042468448,1.0,-0.11259549625443199,0.3756643894011926,full,mean
27,IRF3,0.16456422390509337,0.7,-0.10705893141118387,0.2813615742482649,KO-specific,mean
28,IRF5,0.7839438620706917,1.0,-0.0947924570665446,0.3071578711557312,full,mean
29,IRF5,0.2504218603641698,0.4,-0.09809001092931027,0.3142145488545108,KO-specific,mean
30,NFKBIA,-0.11061041012004932,0.7,-0.0716757838241712,0.672175853587124,full,mean
31,NFKBIA,-0.5811523985031917,0.4,-0.11759033196994402,0.5681243493117766,KO-specific,mean
32,LBP,0.3510029130211692,0.8,-0.10177665207596717,0.41033264779522327,full,mean
33,LBP,0.11069383139823535,0.7,-0.1372417842444172,0.3077151773991012,KO-specific,mean
34,MAP2K3,0.47947354005757303,0.8,-0.12860674716199724,0.5538739507325137,full,mean
35,MAP2K3,0.132132095018774,0.6,-0.1528118902690057,0.3952112857114796,KO-specific,mean
36,MAP2K2,0.5062274888679184,0.68,4.439601104351655,0.7099584492414508,full,Cellina-base-random
37,MAP2K2,0.4403783054903898,0.6399999999999999,4.496152009435444,0.6546591729417912,KO-specific,Cellina-base-random
38,IRAK1,-0.39074316141222987,0.18,4.365939403330595,0.681606550639325,full,Cellina-base-random
39,IRAK1,-0.015371008998971047,0.38,4.49127143692757,0.4564241319528167,KO-specific,Cellina-base-random
40,IRF7,0.2578109472007519,0.58,4.568880980299268,0.5227804661171355,full,Cellina-base-random
41,IRF7,0.033412358113025786,0.36,4.514879936925986,0.3653507623566099,KO-specific,Cellina-base-random
42,PELI1,0.36445609362714126,0.7200000000000001,4.464474398837654,0.4844968876458985,full,Cellina-base-random
43,PELI1,0.16456493989121806,0.62,4.526226733824641,0.45408202815302456,KO-specific,Cellina-base-random
44,IRF3,0.5811312105621428,0.78,4.461123878227958,0.40972083734268433,full,Cellina-base-random
45,IRF3,0.022518997900056667,0.48,4.435726403916542,0.3539111277744921,KO-specific,Cellina-base-random
46,IRF5,0.7256716631343638,0.72,4.406573351155157,0.36014936878686366,full,Cellina-base-random
47,IRF5,0.36719441785642937,0.6200000000000001,4.444013073059191,0.3083748262456506,KO-specific,Cellina-base-random
48,NFKBIA,-0.4091854186236431,0.42000000000000004,4.474416914406696,0.7029395266480594,full,Cellina-base-random
49,NFKBIA,-0.6057119698205309,0.27999999999999997,4.472113679450035,0.579265530195997,KO-specific,Cellina-base-random
50,LBP,0.2629594337115993,0.6599999999999999,4.502717855570759,0.44659106116136044,full,Cellina-base-random
51,LBP,-0.42559583189729333,0.34,4.546954459126775,0.38124093096815737,KO-specific,Cellina-base-random
52,MAP2K3,0.046656049110325164,0.52,4.407446848088867,0.5994110110807565,full,Cellina-base-random
53,MAP2K3,-0.3132707897138191,0.45999999999999996,4.471186100918764,0.451353216024692,KO-specific,Cellina-base-random
