KO,type,baseline,Pearson,Precision,E-distance,RMSE_LFC,seed,model
MAP2K2,full,Cellina-GAT,0.890550877364417,0.9,4.2230414279630555,0.5285608153020869,0,cellina-gat
MAP2K2,KO-specific,Cellina-GAT,0.933303313826915,1.0,4.310908275451138,0.43935270930280973,0,cellina-gat
IRAK1,full,Cellina-GAT,0.6879191693898187,1.0,4.834280916953071,0.5300054382296732,0,cellina-gat
IRAK1,KO-specific,Cellina-GAT,0.8537573157735943,1.0,4.850015819081416,0.3072459992052611,0,cellina-gat
IRF7,full,Cellina-GAT,0.820345586899824,0.8,4.284441215896827,0.3203341532921061,0,cellina-gat
IRF7,KO-specific,Cellina-GAT,0.8893319900247126,1.0,4.043790860462339,0.20859405377383547,0,cellina-gat
PELI1,full,Cellina-GAT,0.17204219726441236,0.5,4.017072617428214,0.5091080208206525,0,cellina-gat
PELI1,KO-specific,Cellina-GAT,-0.42020113056426267,0.3,4.1063904123830595,0.5376213803447089,0,cellina-gat
IRF3,full,Cellina-GAT,0.5184056945012017,0.7,4.326115275038093,0.41913674595166595,0,cellina-gat
IRF3,KO-specific,Cellina-GAT,0.12826191533543146,0.5,4.493537623898921,0.32446360309375055,0,cellina-gat
IRF5,full,Cellina-GAT,0.519252571772981,0.7,3.8334544889680346,0.379617444024127,0,cellina-gat
IRF5,KO-specific,Cellina-GAT,-0.1929868854608102,0.3,4.008548637488476,0.38868797211829614,0,cellina-gat
NFKBIA,full,Cellina-GAT,0.2029085089085038,0.5,4.365947148172188,0.627547399066042,0,cellina-gat
NFKBIA,KO-specific,Cellina-GAT,0.36472698482532,0.7,4.387804555779768,0.45919546482573226,0,cellina-gat
LBP,full,Cellina-GAT,0.7068499094926771,0.8,4.710566949793709,0.32049305576021125,0,cellina-gat
LBP,KO-specific,Cellina-GAT,0.4610021638686391,0.7,4.796373267391732,0.3077261784306548,0,cellina-gat
MAP2K3,full,Cellina-GAT,-0.1451792206263751,0.3,4.2944490707644976,0.6041119929487445,0,cellina-gat
MAP2K3,KO-specific,Cellina-GAT,-0.07419316327886046,0.4,4.4215553300125725,0.4098871269298935,0,cellina-gat
MAP2K2,full,Cellina-GAT-random,-0.4359953671952628,0.32,4.465300273762322,0.8370679786609114,0,cellina-gat
MAP2K2,KO-specific,Cellina-GAT-random,-0.36146014846341384,0.27999999999999997,4.4459979876099975,0.7770908311814143,0,cellina-gat
IRAK1,full,Cellina-GAT-random,-0.47915673078698484,0.24000000000000005,4.985506557145501,0.6830054220926327,0,cellina-gat
IRAK1,KO-specific,Cellina-GAT-random,-0.06371170318645454,0.4,4.916464833364289,0.45527727271580387,0,cellina-gat
IRF7,full,Cellina-GAT-random,0.4382330817391568,0.64,4.167535156727384,0.49219890901992286,0,cellina-gat
IRF7,KO-specific,Cellina-GAT-random,0.6260500258567221,0.78,4.243865490812589,0.2721012249329608,0,cellina-gat
PELI1,full,Cellina-GAT-random,-0.14806224822089215,0.43999999999999995,4.116742079328877,0.5799445007125723,0,cellina-gat
PELI1,KO-specific,Cellina-GAT-random,-0.24545504519313277,0.32,4.096795657331183,0.4908743680451165,0,cellina-gat
IRF3,full,Cellina-GAT-random,-0.06221284542193643,0.45999999999999996,4.540338333697795,0.5002222119735487,0,cellina-gat
IRF3,KO-specific,Cellina-GAT-random,0.06706152620691296,0.5,4.5634057419067275,0.3255611679903855,0,cellina-gat
IRF5,full,Cellina-GAT-random,-0.008459294655824567,0.5800000000000001,4.002877924856074,0.42656046832429356,0,cellina-gat
IRF5,KO-specific,Cellina-GAT-random,-0.34300032445435646,0.4,3.910125046063032,0.37833339074187117,0,cellina-gat
NFKBIA,full,Cellina-GAT-random,-0.3083824555149977,0.48,4.436278476406419,0.6662415808582041,0,cellina-gat
NFKBIA,KO-specific,Cellina-GAT-random,0.06375993465709477,0.58,4.425859539637251,0.4970585926938213,0,cellina-gat
LBP,full,Cellina-GAT-random,0.6089887556273622,0.7,4.702726211163906,0.3811437613931,0,cellina-gat
LBP,KO-specific,Cellina-GAT-random,0.7560296679483824,0.8,4.722150678938932,0.2088236043614983,0,cellina-gat
MAP2K3,full,Cellina-GAT-random,-0.6280548227620658,0.24000000000000005,4.396288126048887,0.6580559911668366,0,cellina-gat
MAP2K3,KO-specific,Cellina-GAT-random,-0.5849049154815009,0.27999999999999997,4.330334237544558,0.47903013230337743,0,cellina-gat
MAP2K2,full,Cellina-GAT,0.583798154482076,0.6,3.868691903297349,0.69485083129103,1,cellina-gat
MAP2K2,KO-specific,Cellina-GAT,0.7143440333629917,0.7,3.766503651744319,0.5884464783809112,1,cellina-gat
IRAK1,full,Cellina-GAT,0.7891686378887391,0.9,4.344789200629945,0.49567995771682566,1,cellina-gat
IRAK1,KO-specific,Cellina-GAT,0.3457307327248183,0.6,4.381599120326717,0.44690247865052285,1,cellina-gat
IRF7,full,Cellina-GAT,0.8825266580466502,1.0,3.8472295559840504,0.34639048732620137,1,cellina-gat
IRF7,KO-specific,Cellina-GAT,0.8594121552814644,1.0,3.7612601642932626,0.22427417730704283,1,cellina-gat
PELI1,full,Cellina-GAT,0.72685192602352,0.8,3.7404322374618055,0.4569162469014394,1,cellina-gat
PELI1,KO-specific,Cellina-GAT,0.3885346160181955,0.7,3.7033296865373986,0.3422846749640589,1,cellina-gat
IRF3,full,Cellina-GAT,0.21130265699468648,0.7,4.096736267015369,0.564204413026626,1,cellina-gat
IRF3,KO-specific,Cellina-GAT,-0.16208762396626694,0.4,3.892331268393474,0.42194171904157807,1,cellina-gat
IRF5,full,Cellina-GAT,-0.12340717251930555,0.5,3.7705017592166747,0.6964406597343763,1,cellina-gat
IRF5,KO-specific,Cellina-GAT,-0.2992691266428974,0.2,3.7193541295046564,0.5488808750581318,1,cellina-gat
NFKBIA,full,Cellina-GAT,0.3575563918663469,0.6,4.04123342253608,0.7756070532274775,1,cellina-gat
NFKBIA,KO-specific,Cellina-GAT,0.12009874646418484,0.4,4.010290232509837,0.57504457916621,1,cellina-gat
LBP,full,Cellina-GAT,0.17641474643775787,0.7,4.226507028686958,0.4143510558786202,1,cellina-gat
