KO,type,baseline,Pearson,Precision,E-distance,RMSE_LFC,seed,model
MAP2K2,full,Cellina-base,0.8178821355964314,0.9,3.7043290602146954,0.5503576355668164,0,cellina
MAP2K2,KO-specific,Cellina-base,0.8943142637279065,1.0,3.6698397016712976,0.4354266497003932,0,cellina
IRAK1,full,Cellina-base,0.5071001463289329,0.8,4.384121796229306,0.5635898698633692,0,cellina
IRAK1,KO-specific,Cellina-base,0.6069496158773877,0.8,4.408971260656405,0.37222724258734463,0,cellina
IRF7,full,Cellina-base,0.8798314554804714,0.9,3.867987728529954,0.28042403502528784,0,cellina
IRF7,KO-specific,Cellina-base,0.7999131807589114,0.8,3.6518499359371317,0.22871329135838042,0,cellina
PELI1,full,Cellina-base,0.5458668922469337,0.8,3.6085165378155217,0.4346249218155155,0,cellina
PELI1,KO-specific,Cellina-base,-0.014315248443608191,0.6,3.7147439735123498,0.4988257888281454,0,cellina
IRF3,full,Cellina-base,0.6568589556708001,0.8,4.060871939767505,0.3545402641322417,0,cellina
IRF3,KO-specific,Cellina-base,0.007457629518640756,0.5,4.266916562232152,0.43860444075629934,0,cellina
IRF5,full,Cellina-base,0.5141175778841962,0.8,3.3932009826390748,0.3925760131365481,0,cellina
IRF5,KO-specific,Cellina-base,0.10328998521229506,0.7,3.5064859281610388,0.4058179723768217,0,cellina
NFKBIA,full,Cellina-base,0.7367719244067796,0.9,3.926595392215856,0.5810826994050294,0,cellina
NFKBIA,KO-specific,Cellina-base,0.2941450427659331,0.8,3.951031383814884,0.46330668620279813,0,cellina
LBP,full,Cellina-base,0.3655018643757552,0.6,4.360588236847471,0.4827436629142693,0,cellina
LBP,KO-specific,Cellina-base,-0.22182513188559935,0.5,4.408934161422879,0.49734352493876266,0,cellina
MAP2K3,full,Cellina-base,0.10828018260551373,0.5,3.8759776260961076,0.59905132243084,0,cellina
MAP2K3,KO-specific,Cellina-base,0.3303256272009121,0.7,3.8676409359296913,0.38151507834831855,0,cellina
MAP2K2,full,Cellina-base-random,0.6350711840910206,0.7200000000000001,3.8256246811440016,0.715071735145336,0,cellina
MAP2K2,KO-specific,Cellina-base-random,0.6731276632071057,0.6599999999999999,3.784814937024374,0.6451468490219769,0,cellina
