KO,type,baseline,Pearson,Precision,E-distance,RMSE_LFC,seed,model
MAP2K2,full,SpatialProp,0.30483043370840807,0.7,7.340548896789551,0.8146276215174696,0,spatialprop
MAP2K2,KO-specific,SpatialProp,0.48062617809201025,0.8,7.261916923522949,0.6696557990821507,0,spatialprop
IRAK1,full,SpatialProp,0.4543436380821378,0.7,8.174824523925782,0.6221252308842484,0,spatialprop
IRAK1,KO-specific,SpatialProp,0.6048902911089717,0.6,8.176747035980224,0.5348480133474967,0,spatialprop
IRF7,full,SpatialProp,0.6761631027012922,0.7,7.0181090354919435,0.4981321941028805,0,spatialprop
IRF7,KO-specific,SpatialProp,0.866942607796101,0.6,6.948395824432373,0.397005484784206,0,spatialprop
PELI1,full,SpatialProp,-0.08474908681199626,0.6,7.164658069610596,0.7432381139116171,0,spatialprop
PELI1,KO-specific,SpatialProp,-0.4218069262416719,0.6,7.263122272491455,0.8155526279104713,0,spatialprop
IRF3,full,SpatialProp,0.5003335427509262,0.6,7.698013019561768,0.5322768225522718,0,spatialprop
IRF3,KO-specific,SpatialProp,0.4841847523644106,0.7,7.761856269836426,0.4282477762320257,0,spatialprop
IRF5,full,SpatialProp,-0.38891499400256185,0.6,6.911118412017823,0.6470529213669195,0,spatialprop
IRF5,KO-specific,SpatialProp,-0.6056682389955078,0.5,6.95850944519043,0.6636988916845586,0,spatialprop
NFKBIA,full,SpatialProp,0.25235783725361227,0.5,7.323124408721924,0.7821869578393338,0,spatialprop
NFKBIA,KO-specific,SpatialProp,-0.09034550293294308,0.6,7.3257472038269045,0.6723840480987794,0,spatialprop
LBP,full,SpatialProp,0.5986206684080406,0.7,7.863061714172363,0.4022768151996184,0,spatialprop
LBP,KO-specific,SpatialProp,0.49802485967874033,0.6,7.921292972564697,0.49201447919705726,0,spatialprop
MAP2K3,full,SpatialProp,-0.05371941536581441,0.6,7.3129900932312015,0.7006902915794697,0,spatialprop
MAP2K3,KO-specific,SpatialProp,-0.07126712516639555,0.6,7.5416765213012695,0.6451957341666154,0,spatialprop
MAP2K2,full,SpatialProp-random,-0.04274009192005561,0.6,7.516909790039063,0.9203330872311479,0,spatialprop
MAP2K2,KO-specific,SpatialProp-random,0.10608475713490054,0.7,7.553871059417725,0.7947907725436797,0,spatialprop
IRAK1,full,SpatialProp-random,0.26783824084452634,0.7,8.118501834869386,0.6771373652701451,0,spatialprop
IRAK1,KO-specific,SpatialProp-random,0.4650589920346378,0.5,8.110718307495116,0.6110462918157372,0,spatialprop
IRF7,full,SpatialProp-random,0.6557396140321305,0.62,7.065784244537353,0.5079693990628197,0,spatialprop
IRF7,KO-specific,SpatialProp-random,0.8633180527005205,0.52,7.104842109680176,0.40046640954618595,0,spatialprop
PELI1,full,SpatialProp-random,-0.15357375691002212,0.5599999999999999,7.0812375831604,0.7454302112559203,0,spatialprop
PELI1,KO-specific,SpatialProp-random,-0.44046021722263384,0.6,7.0626618194580075,0.803832954317597,0,spatialprop
IRF3,full,SpatialProp-random,0.4429355476490714,0.5599999999999999,7.723700160980224,0.5392023906951766,0,spatialprop
IRF3,KO-specific,SpatialProp-random,0.45581090628691684,0.7,7.694515190124513,0.4240364649184508,0,spatialprop
IRF5,full,SpatialProp-random,-0.41559736662277375,0.6,7.0671568107604985,0.6531398002901776,0,spatialprop
IRF5,KO-specific,SpatialProp-random,-0.6081077570848763,0.5,7.169745197296143,0.6684065756155423,0,spatialprop
NFKBIA,full,SpatialProp-random,0.16537892530903597,0.5,7.385398330688477,0.8316884344386098,0,spatialprop
