KO,type,baseline,Pearson,Precision,E-distance,RMSE_LFC,seed,model
MAP2K2,full,terra-lora-ep5,-0.17580753564834595,0.6,1.9121025256469697,0.8079573512077332,0,terra
MAP2K2,KO-specific,terra-lora-ep5,-0.16778522729873657,0.6,1.957078941115472,0.7387630939483643,0,terra
IRAK1,full,terra-lora-ep5,-0.06970363110303879,0.4,2.238364092017508,0.6883178353309631,0,terra
IRAK1,KO-specific,terra-lora-ep5,0.2848066985607147,0.7,2.189471220987409,0.43365609645843506,0,terra
IRF7,full,terra-lora-ep5,0.637787401676178,0.7,1.790035041444589,0.48395979404449463,0,terra
IRF7,KO-specific,terra-lora-ep5,0.7520142793655396,0.9,1.7088436018140023,0.2325623780488968,0,terra
PELI1,full,terra-lora-ep5,0.17705686390399933,0.6,1.6426936763741984,0.5229639410972595,0,terra
PELI1,KO-specific,terra-lora-ep5,0.07714665681123734,0.6,1.6390014006642637,0.4713895916938782,0,terra
IRF3,full,terra-lora-ep5,0.08185406029224396,0.4,1.6054873713648359,0.5603617429733276,0,terra
IRF3,KO-specific,terra-lora-ep5,0.1590558886528015,0.5,1.6914037383603486,0.37163740396499634,0,terra
IRF5,full,terra-lora-ep5,-0.14081242680549622,0.5,1.5378712204693827,0.519524097442627,0,terra
IRF5,KO-specific,terra-lora-ep5,-0.08232000470161438,0.4,1.498967789182311,0.38284072279930115,0,terra
NFKBIA,full,terra-lora-ep5,0.3192194700241089,0.5,1.7702513906674153,0.610356330871582,0,terra
NFKBIA,KO-specific,terra-lora-ep5,0.25127267837524414,0.5,1.7352956853936905,0.4712064266204834,0,terra
LBP,full,terra-lora-ep5,0.2957581579685211,0.5,1.887614338205817,0.4956875443458557,0,terra
LBP,KO-specific,terra-lora-ep5,0.06542721390724182,0.7,1.8838185319779677,0.3170751929283142,0,terra
MAP2K3,full,terra-lora-ep5,-0.12317065894603729,0.4,1.8496340189402705,0.6379913091659546,0,terra
MAP2K3,KO-specific,terra-lora-ep5,-0.026153145357966423,0.3,1.8940441058413895,0.42904356122016907,0,terra
MAP2K2,full,terra-lora-ep5-random,-0.6342684030532837,0.26,1.988921793565408,0.8508755564689636,0,terra
MAP2K2,KO-specific,terra-lora-ep5-random,-0.7260252237319946,0.22000000000000003,2.0167867015779395,0.7818363904953003,0,terra
IRAK1,full,terra-lora-ep5-random,-0.2585470378398895,0.31999999999999995,2.167296676016048,0.7756521701812744,0,terra
IRAK1,KO-specific,terra-lora-ep5-random,0.15073998272418976,0.62,2.210804620166802,0.47859764099121094,0,terra
IRF7,full,terra-lora-ep5-random,0.5773334503173828,0.6799999999999999,1.7884955690981765,0.5129426121711731,0,terra
IRF7,KO-specific,terra-lora-ep5-random,0.7762513756752014,0.8400000000000001,1.7968567515147686,0.23644253611564636,0,terra
PELI1,full,terra-lora-ep5-random,-0.0712314248085022,0.48,1.6935914825428493,0.584663450717926,0,terra
PELI1,KO-specific,terra-lora-ep5-random,-0.13518154621124268,0.4600000000000001,1.728221079261255,0.5233207941055298,0,terra
IRF3,full,terra-lora-ep5-random,-0.08489499986171722,0.5,1.7491487175466507,0.6259790062904358,0,terra
IRF3,KO-specific,terra-lora-ep5-random,0.14595936238765717,0.5599999999999999,1.7235992508640954,0.3988913893699646,0,terra
IRF5,full,terra-lora-ep5-random,-0.230210542678833,0.42000000000000004,1.5837567195306193,0.5327728390693665,0,terra
IRF5,KO-specific,terra-lora-ep5-random,-0.11375673115253448,0.44000000000000006,1.5621703914678413,0.38534948229789734,0,terra
NFKBIA,full,terra-lora-ep5-random,0.23766741156578064,0.54,1.6876999731316231,0.6263235211372375,0,terra
NFKBIA,KO-specific,terra-lora-ep5-random,0.15764379501342773,0.5,1.6931560571176711,0.4922928810119629,0,terra
LBP,full,terra-lora-ep5-random,0.31183451414108276,0.5800000000000001,1.902160825780347,0.5052628517150879,0,terra
LBP,KO-specific,terra-lora-ep5-random,0.1394362598657608,0.68,1.934628266315448,0.3104575574398041,0,terra
MAP2K3,full,terra-lora-ep5-random,-0.028798460960388184,0.4600000000000001,1.8576895049092799,0.6203463673591614,0,terra
MAP2K3,KO-specific,terra-lora-ep5-random,-0.07531651109457016,0.45999999999999996,1.8530836241078394,0.4450851082801819,0,terra
MAP2K2,full,terra-lora-ep5,0.7359669804573059,0.8,1.7451796624729272,0.6410453915596008,1,terra
MAP2K2,KO-specific,terra-lora-ep5,0.607726514339447,0.8,1.7977380220815813,0.6001090407371521,1,terra
IRAK1,full,terra-lora-ep5,-0.1144774779677391,0.3,2.245773073278559,0.7009570002555847,1,terra
IRAK1,KO-specific,terra-lora-ep5,0.3434777557849884,0.6,2.1672453250299464,0.4214435815811157,1,terra
IRF7,full,terra-lora-ep5,-0.050356388092041016,0.4,1.8037466039764554,0.5835275650024414,1,terra
IRF7,KO-specific,terra-lora-ep5,-0.15704360604286194,0.3,1.7097749615083842,0.4863252639770508,1,terra
PELI1,full,terra-lora-ep5,-0.02808395028114319,0.5,1.6926279968410984,0.5711976289749146,1,terra
PELI1,KO-specific,terra-lora-ep5,0.03543362766504288,0.3,1.638895125650884,0.4971286654472351,1,terra
IRF3,full,terra-lora-ep5,-0.3354847729206085,0.3,1.8218237272793065,0.6474215984344482,1,terra
IRF3,KO-specific,terra-lora-ep5,-0.3690904378890991,0.4,1.7492014287760669,0.4403967261314392,1,terra
IRF5,full,terra-lora-ep5,0.3396838903427124,0.6,1.5553419414003264,0.4290293753147125,1,terra
IRF5,KO-specific,terra-lora-ep5,-0.0702165961265564,0.4,1.517966043276553,0.4491386115550995,1,terra
NFKBIA,full,terra-lora-ep5,-0.3752048909664154,0.7,1.7244708697671587,0.8149307370185852,1,terra
NFKBIA,KO-specific,terra-lora-ep5,-0.46002474427223206,0.5,1.7336918104253995,0.7183787226676941,1,terra
LBP,full,terra-lora-ep5,0.15096017718315125,0.5,1.9190258395662543,0.46456456184387207,1,terra
LBP,KO-specific,terra-lora-ep5,-0.4303146004676819,0.3,1.9491293273712713,0.5080215334892273,1,terra
MAP2K3,full,terra-lora-ep5,-0.24262985587120056,0.4,1.8505522577322082,0.7165887355804443,1,terra
MAP2K3,KO-specific,terra-lora-ep5,0.00021292082965373993,0.6,1.8124688669274545,0.47957009077072144,1,terra
MAP2K2,full,terra-lora-ep5-random,0.6239186525344849,0.76,1.844603051299917,0.6849116683006287,1,terra
MAP2K2,KO-specific,terra-lora-ep5-random,0.43138211965560913,0.74,1.8312836952845846,0.6459599733352661,1,terra
IRAK1,full,terra-lora-ep5-random,-0.07528887689113617,0.38,2.190984525052325,0.7201015949249268,1,terra
IRAK1,KO-specific,terra-lora-ep5-random,0.43634551763534546,0.62,2.1882961049097736,0.4058549404144287,1,terra
IRF7,full,terra-lora-ep5-random,-0.11225360631942749,0.42000000000000004,1.719060763720303,0.6095782518386841,1,terra
IRF7,KO-specific,terra-lora-ep5-random,-0.16450926661491394,0.4,1.7469657857665382,0.4710695147514343,1,terra
PELI1,full,terra-lora-ep5-random,-0.1865670382976532,0.34,1.6198244609824368,0.6094805002212524,1,terra
PELI1,KO-specific,terra-lora-ep5-random,-0.05356971174478531,0.3,1.6591638495873582,0.5272530317306519,1,terra
IRF3,full,terra-lora-ep5-random,-0.34632787108421326,0.36,1.7116926022351482,0.6909292936325073,1,terra
IRF3,KO-specific,terra-lora-ep5-random,-0.3473218083381653,0.36,1.6847259661345764,0.4697411060333252,1,terra
IRF5,full,terra-lora-ep5-random,0.3854612410068512,0.6000000000000001,1.4713255493676978,0.421854168176651,1,terra
IRF5,KO-specific,terra-lora-ep5-random,-0.05506749823689461,0.4,1.539753470910652,0.46591073274612427,1,terra
NFKBIA,full,terra-lora-ep5-random,-0.38517671823501587,0.6799999999999999,1.7120728538938272,0.8154581785202026,1,terra
NFKBIA,KO-specific,terra-lora-ep5-random,-0.454313188791275,0.48,1.70816531221146,0.7259951829910278,1,terra
LBP,full,terra-lora-ep5-random,0.21753153204917908,0.52,1.892466891182482,0.46184244751930237,1,terra
LBP,KO-specific,terra-lora-ep5-random,-0.428429514169693,0.3,1.8820707263416527,0.4995811879634857,1,terra
MAP2K3,full,terra-lora-ep5-random,-0.30622124671936035,0.42000000000000004,1.788100149804072,0.7474499940872192,1,terra
MAP2K3,KO-specific,terra-lora-ep5-random,-0.26496726274490356,0.58,1.8663855134192455,0.5341602563858032,1,terra
MAP2K2,full,terra-lora-ep5,-0.1296008974313736,0.7,1.5673288614713397,0.801652193069458,2,terra
MAP2K2,KO-specific,terra-lora-ep5,-0.414061963558197,0.6,1.567966698370156,0.7865735292434692,2,terra
IRAK1,full,terra-lora-ep5,-0.17214256525039673,0.4,1.9020107984350418,0.7344412207603455,2,terra
IRAK1,KO-specific,terra-lora-ep5,0.03130355477333069,0.6,1.9234936531247673,0.48208701610565186,2,terra
IRF7,full,terra-lora-ep5,0.28851550817489624,0.5,1.6212195641517013,0.547360360622406,2,terra
IRF7,KO-specific,terra-lora-ep5,0.05577121675014496,0.6,1.5803888882467676,0.45744407176971436,2,terra
