,KO,Pearson,Precision,E-distance,RMSE_LFC,type,baseline
0,MAP2K2,-0.11173523962497711,0.6,1.8693316459655762,0.8004828691482544,full,terra-lora-ep5
1,IRAK1,-0.14398828148841858,0.4,1.906753921508789,0.7010430693626404,full,terra-lora-ep5
2,IRF7,0.6481319069862366,0.7,1.949195384979248,0.4845455586910248,full,terra-lora-ep5
3,PELI1,0.4193539619445801,0.6,1.7686084747314452,0.4972761869430542,full,terra-lora-ep5
4,IRF3,0.00031695887446403503,0.4,1.8384323120117188,0.5746236443519592,full,terra-lora-ep5
5,IRF5,-0.17706464231014252,0.5,1.8932503700256347,0.5299251675605774,full,terra-lora-ep5
6,NFKBIA,0.3538188338279724,0.6,1.9929882049560548,0.6030610203742981,full,terra-lora-ep5
7,LBP,0.28965094685554504,0.5,1.9163915634155273,0.5059617757797241,full,terra-lora-ep5
8,MAP2K3,-0.1035696491599083,0.4,1.8129858016967773,0.6302500367164612,full,terra-lora-ep5
9,MAP2K2,-0.15076793730258942,0.6,1.797551155090332,0.7382240295410156,KO-specific,terra-lora-ep5
10,IRAK1,0.2641778588294983,0.7,1.8074572563171387,0.4362265467643738,KO-specific,terra-lora-ep5
11,IRF7,0.7528513669967651,0.9,1.9464262008666993,0.23506876826286316,KO-specific,terra-lora-ep5
12,PELI1,0.1974533200263977,0.6,1.8107693672180176,0.45411232113838196,KO-specific,terra-lora-ep5
13,IRF3,0.18604052066802979,0.5,1.787430763244629,0.3686915338039398,KO-specific,terra-lora-ep5
14,IRF5,-0.1279895305633545,0.4,1.8339539527893067,0.38515233993530273,KO-specific,terra-lora-ep5
15,NFKBIA,0.26564905047416687,0.5,1.8801138877868653,0.46640080213546753,KO-specific,terra-lora-ep5
16,LBP,0.019383564591407776,0.6,1.9626436233520508,0.328416645526886,KO-specific,terra-lora-ep5
17,MAP2K3,-0.06117473542690277,0.3,1.780949020385742,0.432829350233078,KO-specific,terra-lora-ep5
18,MAP2K2,0.23875795304775238,0.7,-0.09808578491210937,0.7556271553039551,full,mean
19,MAP2K2,-0.05978722870349884,0.6,-0.10302734375,0.710364043712616,KO-specific,mean
20,IRAK1,-0.3044956624507904,0.5,-0.06868572235107422,0.6531410217285156,full,mean
21,IRAK1,-0.46729594469070435,0.4,-0.10758037567138672,0.49406495690345764,KO-specific,mean
22,IRF7,0.5794376730918884,0.8,-0.0835886001586914,0.46970513463020325,full,mean
23,IRF7,0.3203684389591217,0.7,-0.1038980484008789,0.326960951089859,KO-specific,mean
24,PELI1,0.4347006678581238,0.6,-0.11042213439941406,0.4788612425327301,full,mean
25,PELI1,0.04858968406915665,0.4,-0.08297157287597656,0.44533902406692505,KO-specific,mean
26,IRF3,0.8340598344802856,1.0,-0.10476665496826172,0.3756644129753113,full,mean
27,IRF3,0.16456419229507446,0.7,-0.1158071517944336,0.28136157989501953,KO-specific,mean
28,IRF5,0.7839438319206238,1.0,-0.10295467376708985,0.30715787410736084,full,mean
29,IRF5,0.2504218518733978,0.4,-0.13285427093505858,0.3142145574092865,KO-specific,mean
30,NFKBIA,-0.11061039566993713,0.7,-0.09389896392822265,0.6721758246421814,full,mean
31,NFKBIA,-0.5811523795127869,0.4,-0.09935302734375,0.5681243538856506,KO-specific,mean
32,LBP,0.35100287199020386,0.8,-0.09180068969726562,0.41033264994621277,full,mean
33,LBP,0.11069384962320328,0.7,-0.10128135681152343,0.30771517753601074,KO-specific,mean
34,MAP2K3,0.4794735610485077,0.8,-0.10895442962646484,0.5538739562034607,full,mean
35,MAP2K3,0.13213206827640533,0.6,-0.10591983795166016,0.3952113091945648,KO-specific,mean
36,MAP2K2,-0.6342684030532837,0.26,1.8513120460510255,0.8508755564689636,full,terra-lora-ep5-random
37,MAP2K2,-0.7260252237319946,0.22000000000000003,1.8361565589904785,0.7818363904953003,KO-specific,terra-lora-ep5-random
38,IRAK1,-0.2585470378398895,0.31999999999999995,1.7876074600219727,0.7756521701812744,full,terra-lora-ep5-random
39,IRAK1,0.15073998272418976,0.62,1.8269933891296386,0.47859764099121094,KO-specific,terra-lora-ep5-random
40,IRF7,0.5773334503173828,0.6799999999999999,1.7926980209350585,0.5129426121711731,full,terra-lora-ep5-random
41,IRF7,0.7762513756752014,0.8400000000000001,1.75003360748291,0.23644253611564636,KO-specific,terra-lora-ep5-random
42,PELI1,-0.0712314248085022,0.48,1.8516979598999022,0.584663450717926,full,terra-lora-ep5-random
43,PELI1,-0.13518154621124268,0.4600000000000001,1.8060763740539554,0.5233207941055298,KO-specific,terra-lora-ep5-random
44,IRF3,-0.08489499986171722,0.5,1.8333163261413574,0.6259790062904358,full,terra-lora-ep5-random
45,IRF3,0.14595936238765717,0.5599999999999999,1.813621883392334,0.3988913893699646,KO-specific,terra-lora-ep5-random
46,IRF5,-0.230210542678833,0.42000000000000004,1.8208164024353028,0.5327728390693665,full,terra-lora-ep5-random
47,IRF5,-0.11375673115253448,0.44000000000000006,1.8194029998779295,0.38534948229789734,KO-specific,terra-lora-ep5-random
48,NFKBIA,0.23766741156578064,0.54,1.8465972709655762,0.6263235211372375,full,terra-lora-ep5-random
49,NFKBIA,0.15764379501342773,0.5,1.8210610580444335,0.4922928810119629,KO-specific,terra-lora-ep5-random
50,LBP,0.31183451414108276,0.5800000000000001,1.8348007774353026,0.5052628517150879,full,terra-lora-ep5-random
51,LBP,0.1394362598657608,0.68,1.8403744316101076,0.3104575574398041,KO-specific,terra-lora-ep5-random
52,MAP2K3,-0.028798460960388184,0.4600000000000001,1.852700252532959,0.6203463673591614,full,terra-lora-ep5-random
53,MAP2K3,-0.07531651109457016,0.45999999999999996,1.8101782608032226,0.4450851082801819,KO-specific,terra-lora-ep5-random
