dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb
crc,crc_210,REF,CRC,50,cellina-pert,Endothelial,0.9036734693877551,0.9892620931738508,0.66,1.0,0.66,0.96,0.5500505137850118,69.37365063915155,72.96374290562827,5.535045071392204,148.71157730679073,6166.383652483456,1.67600600130864,200
crc,crc_210,REF,CRC,50,cellina-pert,Epithelial,0.567923169267707,0.7784960858505713,0.16,1.0,0.16,0.9,0.7867828452683041,29.784106649996453,35.22382752249753,14.829879089538162,995.9815357401009,237868.05564182854,3.7129885184986295,200
crc,crc_210,REF,CRC,50,cellina-pert,Fibroblast,0.6290996398559423,0.8719294524933113,0.1,1.0,0.1,0.86,0.737009852539762,63.156648136034605,63.146047877493764,5.457487376910924,261.99946253926515,43312.7673775425,3.3300844538143526,200
crc,crc_210,REF,CRC,50,cellina-pert,Myeloid,0.5611044417767107,0.5321960091509216,0.16,1.0,0.16,0.78,0.8365312902569666,67.01543836628437,67.16197334393132,6.796010601419388,217.73672182230212,21313.915734446226,4.545865897466504,200
crc,crc_210,REF,CRC,50,cellina-pert,T_cell,0.79937575030012,0.9230468726545968,0.34,1.0,0.34,1.0,0.8249974470784801,72.28095404237517,77.31937510424243,6.00435523141728,128.49314832522128,7657.835275419073,1.1967055260597081,200
crc,crc_221,REF,CRC,50,cellina-pert,Endothelial,0.6290996398559423,0.6221844506514591,0.88,1.0,0.88,1.0,0.7193061066849863,77.43369794014798,83.62581551045601,5.906512694037618,222.13344573766068,2200.3127129782756,0.2439459387902734,200
crc,crc_221,REF,CRC,50,cellina-pert,Epithelial,0.7420408163265305,0.9510791126279909,0.36,1.0,0.36,1.0,0.7521913994081211,58.18643718083639,56.50249396224103,9.227005014821149,468.1998129913933,102290.90175641491,1.3829020491160409,200
crc,crc_221,REF,CRC,50,cellina-pert,Fibroblast,0.4555582232893157,0.526939526638006,0.18,0.8888888888888888,0.16,0.8,0.5858382951409287,57.18366162248682,49.08787337791052,8.183921488225792,819.0634417232293,52646.38484447809,4.630645605164695,200
crc,crc_221,REF,CRC,50,cellina-pert,Myeloid,0.4881152460984393,0.5811841683077424,0.84,1.0,0.84,1.0,0.816203195263598,69.00873624078682,69.33098750964216,5.092748543963756,219.4287853813431,1440.475122071552,0.300291828701706,200
crc,crc_221,REF,CRC,50,cellina-pert,T_cell,0.7736374549819928,0.9245959314704145,0.58,1.0,0.58,1.0,0.8032487572148267,80.51593105135188,86.10917468846255,6.650198518305283,136.26918887930134,7043.793038127539,0.8033670544286179,200
