dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc
crc,crc_231,REF,CRC,50,cellina-random-n,Endothelial,0.8078271308523409,0.9671258390937961,0.58,1.0,0.58,1.0,0.8819040690896542,84.9395885478809,88.06465390870451,7.563682872839168,108.70030181665626,4978.259034176603,1.266594046486241
crc,crc_231,REF,CRC,50,cellina-random-n,Epithelial,0.6349579831932772,0.7555824851407236,0.28,1.0,0.28,0.98,0.8189706260307027,66.27137619818613,68.90924433265175,5.49248052901912,151.68125919496234,100131.70283760516,4.338367336562163
crc,crc_231,REF,CRC,50,cellina-random-n,Fibroblast,0.35779111644657857,0.34120149255762533,0.08,1.0,0.08,0.6,0.9205352747159419,83.66465973256399,89.85721560713392,5.703083130631762,121.22688321626246,41856.410244215214,1.100513871923677
crc,crc_231,REF,CRC,50,cellina-random-n,Myeloid,0.7153421368547419,0.7752124772982815,0.16,1.0,0.16,0.78,0.9959840611386175,73.1892906816555,73.16911445885954,6.066009694625782,119.94487121644757,13257.505827204079,1.4347920488058665
crc,crc_231,REF,CRC,50,cellina-random-n,T_cell,0.5659063625450179,0.6545786284574003,0.3,0.9333333333333333,0.28,0.86,0.9731121166828316,86.99108025820621,95.15344567590122,6.107961799617828,94.69245630464049,19142.641685103496,1.091479734023393
crc,crc_232,REF,CRC,50,cellina-random-n,Endothelial,0.836830732292917,0.8756504269518648,0.36,1.0,0.36,1.0,0.9465184406389247,92.15653726728,98.52824423379442,9.09258554393953,185.9633903005387,6492.162548420687,0.7513028480948877
crc,crc_232,REF,CRC,50,cellina-random-n,Epithelial,0.5374789915966387,0.4830870397809129,0.08,0.75,0.06,0.74,0.6972280381346733,85.50519664654402,90.11646384405465,8.421940635602093,253.544118829636,49481.44881302253,5.813958005782891
crc,crc_232,REF,CRC,50,cellina-random-n,Fibroblast,0.8338535414165665,0.902412571429518,0.18,1.0,0.18,0.96,0.6681412548778943,88.82946744672446,93.93313998689995,8.234226321129723,518.2902839558631,27944.292294481544,1.9881733726137267
crc,crc_232,REF,CRC,50,cellina-random-n,Myeloid,0.80984393757503,0.8642965603657492,0.28,1.0,0.28,0.98,0.851985760855041,88.78700051901168,90.00113134147828,7.1860400200512675,195.10713906288626,3914.5668176021586,1.3209313098726523
crc,crc_232,REF,CRC,50,cellina-random-n,T_cell,0.7900600240096038,0.9710839532729506,0.44,1.0,0.44,1.0,0.9953455066237021,102.29713379372744,110.09691110005114,6.7918694544751705,137.05724303164536,6903.513889306387,0.634445015318864
crc,crc_242,REF,CRC,50,cellina-random-n,Endothelial,0.7117887154861945,0.7724710461237171,0.2,1.0,0.2,1.0,0.41280069261320085,73.48364074870288,74.72225777776484,7.348611598024098,234.99864403569728,3367.4230453303107,2.468245326122367
crc,crc_242,REF,CRC,50,cellina-random-n,Epithelial,0.8638175270108043,0.8898815708258555,0.26,1.0,0.26,0.98,0.5001640942474561,60.81176722452792,62.194744609976134,8.593518134938872,293.4593761976171,80906.47324234403,9.388886675232422
crc,crc_242,REF,CRC,50,cellina-random-n,Fibroblast,0.8864825930372148,0.8633740067868262,0.28,1.0,0.28,0.98,0.6123615049279206,67.92192645979132,63.78799662161748,7.381565544296764,376.7799550247754,31643.427063845575,1.551585215263657
crc,crc_242,REF,CRC,50,cellina-random-n,Myeloid,0.7611524609843938,0.827179250049089,0.36,1.0,0.36,0.94,0.9129334421316913,62.08798184282752,60.288925857308755,6.329547454135054,247.04673850882358,5420.933786552642,1.5214983321842024
crc,crc_242,REF,CRC,50,cellina-random-n,T_cell,0.8714045618247299,0.8828848528529677,0.34,1.0,0.34,0.98,0.7625513891038278,81.01104513008426,86.27822228727203,6.339251182460674,125.47852751519062,18230.800906329823,0.5153887214010426
