dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-pert,glutamatergic neuron,0.8750540216086433,0.9501585,0.44,1.0,0.44,1.0,0.44947291023333197,39.00785827636719,46.0113224029541,13.118674850463867,538.8574768066406,15591.17,15.420563,200
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-pert,glutamatergic neuron,0.8257863145258102,0.92359984,0.52,1.0,0.52,1.0,0.33441435046433216,38.744788360595706,44.93685531616211,11.06472225189209,519.6222778320313,11959.769,7.5835304,200
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-pert,oligodendrocyte,0.30122448979591837,0.3838444,0.18,0.5555555555555556,0.1,0.74,0.8281622433148447,32.11387634277344,34.263884735107425,10.529190731048583,201.06312255859376,6231.282,102.788155,200
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-pert,oligodendrocyte,0.38775510204081626,0.7149932,0.12,1.0,0.12,0.9,0.608575438658591,34.25764274597168,34.96098518371582,9.326395320892335,251.46715087890624,6519.964,20.06475,200
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-pert,astrocyte,0.8493157262905161,0.7801218,0.2,1.0,0.2,0.98,0.9478300470941365,34.50392646789551,35.715759658813475,9.306097412109375,733.3135437011719,2893.1416,17.692848,200
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-pert,astrocyte,0.3270588235294118,0.5040107,0.26,0.6923076923076923,0.18,0.66,0.6350739529360573,33.36781616210938,34.978577041625975,8.13320837020874,552.7302734375,3916.4685,123.63345,200
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-pert,GABAergic neuron,0.9127010804321728,0.9405142,0.6,1.0,0.6,1.0,0.6132998160167629,41.1141975402832,46.63896598815918,11.739601421356202,405.0830139160156,1477.0801,10.736594,200
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-pert,GABAergic neuron,0.874765906362545,0.91432726,0.64,1.0,0.64,1.0,0.8668478260869564,38.203260803222655,41.27408218383789,8.517393684387207,641.4070251464843,898.09015,11.952921,200
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-pert,endothelial cell,0.8672749099639855,0.9005593,0.5,1.0,0.5,0.9,0.8049985961319306,34.68038330078125,36.58188400268555,9.988928318023682,274.3669952392578,2441.2585,26.603308,200
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-pert,endothelial cell,0.6069147659063625,0.9939931,0.14,1.0,0.14,0.78,0.9625374879276166,33.741125869750974,34.59370307922363,8.634756755828857,339.22414245605466,3788.0396,288.49344,200
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,glutamatergic neuron,0.7430012004801921,0.9122011,0.48,1.0,0.48,1.0,0.3969987136871986,35.92591896057129,46.43332710266113,15.117895317077636,744.2228576660157,15925.247,16.968529,200
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,glutamatergic neuron,0.613829531812725,0.8547827,0.5,1.0,0.5,1.0,0.5947978415222948,33.894643783569336,41.16082496643067,9.234031581878662,454.9818176269531,15191.988,8.931814,200
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,oligodendrocyte,0.38007202881152463,0.42968962,0.16,1.0,0.16,0.86,0.635033467394944,28.768105506896973,30.07521324157715,10.172036361694335,300.2889739990234,6426.873,99.33692,200
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,oligodendrocyte,0.12998799519807921,0.76260096,0.1,1.0,0.1,0.96,0.6075283883216149,31.811327743530274,32.22625732421875,9.713928699493408,263.23487854003906,7152.6377,16.27273,200
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,astrocyte,0.751452581032413,0.76116407,0.34,1.0,0.34,0.94,0.08937753084094548,30.546582984924317,31.60744972229004,9.838068580627441,889.1934936523437,3503.6538,17.198572,200
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,astrocyte,0.7893877551020407,0.73520094,0.42,0.9523809523809523,0.4,0.92,0.43828980733537237,31.27751045227051,32.25839080810547,7.865624809265137,610.9995483398437,4701.3525,19.052776,200
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,GABAergic neuron,0.8277070828331333,0.8464542,0.32,1.0,0.32,1.0,0.49747504355678424,41.78761596679688,46.19270668029785,11.095688343048096,469.7138427734375,1819.1162,11.087001,200
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,GABAergic neuron,0.6700120048019208,0.7631147,0.22,1.0,0.22,0.98,0.8086560364464692,40.650369262695314,45.50053253173828,9.143390369415282,537.0777038574219,1678.2898,12.762025,200
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,endothelial cell,0.7660504201680671,0.83860904,0.32,1.0,0.32,0.94,0.7601232957306935,32.00866470336914,33.39831695556641,8.52268180847168,239.2733947753906,3459.378,33.047134,200
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,endothelial cell,0.8232893157262905,0.9951727,0.14,0.8571428571428571,0.12,0.5,0.7591005734166613,33.36528854370117,34.00943565368652,8.432246589660645,328.0293914794922,5136.937,277.5836,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,glutamatergic neuron,0.7749819927971189,0.91269016,0.44,1.0,0.44,0.98,0.7571423922517478,41.826175689697266,46.351569747924806,11.453752422332764,467.8841918945312,13362.501,13.703568,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,glutamatergic neuron,0.7330132052821129,0.8961995,0.5,1.0,0.5,1.0,0.5378753629614766,39.581621170043945,45.65610237121582,9.116818618774413,515.62431640625,12486.327,5.1019235,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,oligodendrocyte,0.43990396158463385,0.5533632,0.18,0.7777777777777778,0.14,0.6,0.8586847389558234,32.04748382568359,33.3416332244873,8.57673282623291,259.94171752929685,5476.7456,244.50972,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,oligodendrocyte,0.24321728691476588,0.7603054,0.2,0.8,0.16,0.82,0.8424096385542169,35.48509979248047,34.80743217468262,8.405008029937743,256.94472045898436,5055.377,21.62743,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,astrocyte,0.8300120048019208,0.75685054,0.22,1.0,0.22,0.92,0.08344962223414323,35.60577392578125,37.1301944732666,10.098761749267577,1265.8586303710938,2724.4814,29.273582,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,astrocyte,0.549483793517407,0.55671597,0.28,0.8571428571428571,0.24,0.86,0.6347407440170068,35.35070114135742,36.85910415649414,7.500309181213379,649.3134948730469,3820.4143,62.633827,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,GABAergic neuron,0.8593997599039614,0.922892,0.38,1.0,0.38,1.0,0.5941410711529557,40.73702850341797,44.8727783203125,10.625837802886963,353.2767639160156,1227.7097,10.287487,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,GABAergic neuron,0.6946938775510204,0.72626483,0.4,0.75,0.3,0.62,0.8027974390075386,41.025780487060544,44.898834228515625,8.194022369384765,347.6661743164062,1284.8995,193.23575,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,endothelial cell,0.8733253301320527,0.9209654,0.68,1.0,0.68,0.94,0.8479943701618579,35.84325408935547,36.2282299041748,8.797972869873046,233.3463928222656,2952.2383,49.105873,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,endothelial cell,0.4775510204081632,0.99436784,0.12,1.0,0.12,0.88,0.9647789398352183,35.959968185424806,36.60890121459961,7.572995853424072,307.6615051269531,3411.5903,305.44528,200
