dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,mixing_index,edistance_global,edistance_local,rmse,top_n_perturb
crc,242,REF,CRC,200,spatialprop,Endothelial,0.5019770494262358,0.65875393,0.135,1.0,0.135,0.9993909866017052,14.858294868469239,20.016421508789062,2810.3518,2000
crc,242,REF,CRC,200,spatialprop,Epithelial,0.2776644416110403,0.21104845,0.08,0.875,0.07,0.9155365483090429,8.331620025634766,13.98499584197998,42163.508,2000
crc,242,REF,CRC,200,spatialprop,Fibroblast,0.2780664516612915,0.38507414,0.095,0.9473684210526315,0.09,0.7929306368635799,8.76895751953125,16.650925636291504,32901.605,2000
crc,242,REF,CRC,200,spatialprop,Myeloid,0.41260631515787893,0.6403951,0.12,0.875,0.105,0.8946226187605498,17.144410133361816,20.466875267028808,7849.5474,2000
crc,242,REF,CRC,200,spatialprop,T_cell,0.6050746268656717,0.7193636,0.13,0.9615384615384616,0.125,0.7836671802773497,20.860389709472656,26.05617961883545,6610.0444,2000
crc,232,REF,CRC,200,spatialprop,Endothelial,0.43351533788344715,0.44558913,0.09,0.9444444444444444,0.085,0.7677212655186223,12.470903873443604,18.041632843017577,6832.935,2000
crc,232,REF,CRC,200,spatialprop,Epithelial,0.03857946448661217,0.08334056,0.08,0.875,0.07,0.7498861169913449,11.077404022216797,18.25067481994629,52161.35,2000
crc,232,REF,CRC,200,spatialprop,Fibroblast,0.22942173554338863,0.35466355,0.09,0.8888888888888888,0.08,0.7455424015462672,12.075764465332032,19.945975303649902,22777.428,2000
crc,232,REF,CRC,200,spatialprop,Myeloid,0.5707207680192006,0.5304155,0.105,0.8571428571428571,0.09,0.9998013902681231,12.354669952392578,19.590968132019043,7031.864,2000
crc,232,REF,CRC,200,spatialprop,T_cell,0.31497787444686126,0.39746612,0.13,0.7307692307692307,0.095,0.6126029359112066,16.22170810699463,22.431209564208984,3993.5166,2000
crc,231,REF,CRC,200,spatialprop,Endothelial,0.3997659941498538,0.57860917,0.1,0.65,0.065,0.6770226537216828,7.219672727584839,10.882163333892823,1783.3241,2000
crc,231,REF,CRC,200,spatialprop,Epithelial,0.5159663991599791,0.54560995,0.09,0.8333333333333334,0.075,0.8315295298165137,5.749878692626953,15.026140403747558,28035.016,2000
crc,231,REF,CRC,200,spatialprop,Fibroblast,-0.34798169954248853,-0.39322373,0.085,0.4117647058823529,0.035,0.3535638367099041,15.775654411315918,23.47724666595459,34253.65,2000
crc,231,REF,CRC,200,spatialprop,Myeloid,0.2655906397659942,0.2606696,0.115,0.7391304347826086,0.085,0.708274231678487,6.149620437622071,9.08639898300171,2411.6025,2000
crc,231,REF,CRC,200,spatialprop,T_cell,-0.1197314932873322,-0.18224753,0.075,0.2,0.015,0.4864363552051936,13.011517524719238,19.44444332122803,6018.295,2000
crc,210,REF,CRC,200,spatialprop,Endothelial,0.6516417910447763,0.841053,0.175,1.0,0.175,0.8342448046137019,7.144967842102051,13.061646652221679,13796.545,2000
crc,210,REF,CRC,200,spatialprop,Epithelial,0.5386964674116853,0.54404396,0.185,0.8378378378378378,0.155,0.14040370679773861,9.151904487609864,10.997376346588135,141785.53,2000
crc,210,REF,CRC,200,spatialprop,Fibroblast,0.40269556738918477,0.54440343,0.17,0.9117647058823529,0.155,0.8122035204315057,6.335196113586425,11.919608211517334,48878.383,2000
crc,210,REF,CRC,200,spatialprop,Myeloid,0.5009555238880973,0.51391053,0.17,0.7941176470588235,0.135,0.631839446742152,8.154019737243653,15.467238712310792,41607.758,2000
crc,210,REF,CRC,200,spatialprop,T_cell,0.5774214355358885,0.6359429,0.145,0.9655172413793104,0.14,0.8033946251768034,8.224351692199708,13.98206443786621,13101.386,2000
crc,221,REF,CRC,200,spatialprop,Endothelial,0.8531133278331959,0.93585414,0.37,1.0,0.37,0.826497277676951,8.218263912200928,12.480357265472412,6894.4785,2000
crc,221,REF,CRC,200,spatialprop,Epithelial,0.6633990849771245,0.7327651,0.065,0.9230769230769231,0.06,0.9266983651403634,5.866606330871582,12.878510189056396,43659.348,2000
crc,221,REF,CRC,200,spatialprop,Fibroblast,0.44812420310507767,0.5020696,0.16,1.0,0.16,0.6200673184805258,8.576893329620361,15.611148071289062,39604.477,2000
crc,221,REF,CRC,200,spatialprop,Myeloid,0.8661156528913224,0.9306799,0.435,1.0,0.435,0.8067340067340067,8.039689826965333,12.872838115692138,9764.674,2000
crc,221,REF,CRC,200,spatialprop,T_cell,0.5118817970449262,0.5082263,0.065,1.0,0.065,0.7527774997497748,12.726683139801025,19.691926574707033,15349.488,2000
crc,120,REF,CRC,200,spatialprop,Endothelial,0.47818195454886375,0.5067208,0.215,0.9302325581395349,0.2,0.8122605363984674,11.400761127471924,16.312217712402344,31552.996,2000
crc,120,REF,CRC,200,spatialprop,Epithelial,0.38822620565514143,0.38669193,0.055,0.9090909090909091,0.05,0.034017359422350256,12.949305152893066,15.3688138961792,382983.62,2000
crc,120,REF,CRC,200,spatialprop,Fibroblast,0.15534688367209182,0.26472637,0.175,0.7714285714285715,0.135,0.6933594088022014,7.167926692962647,13.263747596740723,153635.45,2000
crc,120,REF,CRC,200,spatialprop,Myeloid,0.5047446186154654,0.5551673,0.15,0.9666666666666667,0.145,0.7448053989985729,13.912439155578614,19.345483207702635,77155.22,2000
crc,120,REF,CRC,200,spatialprop,T_cell,0.5370659266481663,0.5511828,0.09,0.9444444444444444,0.085,0.6934274628781469,17.193543910980225,23.19920959472656,73340.81,2000
