dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb
crc,crc_232,REF,CRC,50,spatialprop,Endothelial,0.39649459783913565,0.2840199,0.02,1.0,0.02,0.44,0.13536243492190628,30.494565773010255,42.80176963806152,38.166928100585935,1210.2605102539062,10587.574,35.960114,2000
crc,crc_232,REF,CRC,50,spatialprop,Epithelial,-0.22391356542617047,-0.2819231,0.0,0.0,0.0,0.38,0.0018221281384817386,41.737675952911374,48.278399276733396,41.89281463623047,1039.6769653320312,110971.25,54.543556,2000
crc,crc_232,REF,CRC,50,spatialprop,Fibroblast,0.25090036014405764,0.15630528,0.0,0.0,0.0,0.4,0.15254892486107755,31.277280807495117,40.918011856079104,35.084454727172854,1010.5078674316406,44036.04,46.500145,2000
crc,crc_232,REF,CRC,50,spatialprop,Myeloid,0.40936374549819926,0.47159916,0.0,0.0,0.0,0.64,0.9998013902681231,31.48066349029541,42.34010124206543,37.67026901245117,1049.8365417480468,12449.282,32.648373,2000
crc,crc_232,REF,CRC,50,spatialprop,T_cell,0.27442977190876344,0.5353949,0.06,0.3333333333333333,0.02,0.52,0.7547440028643037,34.923632049560545,46.61877861022949,49.36427116394043,1362.939794921875,6056.334,53.020245,2000
crc,crc_242,REF,CRC,50,spatialprop,Endothelial,0.4642016806722689,0.6505073,0.0,0.0,0.0,0.86,0.44275274056029235,40.80622119903565,52.94212417602539,40.05265121459961,396.5586456298828,4115.1533,37.34654,2000
crc,crc_242,REF,CRC,50,spatialprop,Epithelial,-0.27644657863145256,-0.26291853,0.0,0.0,0.0,0.66,0.35342224222985014,15.223944282531738,29.578498458862306,18.97159481048584,354.95245971679685,76508.445,44.51325,2000
crc,crc_242,REF,CRC,50,spatialprop,Fibroblast,-0.22804321728691473,-0.0739719,0.04,0.5,0.02,0.42,0.22055171190349476,33.15586814880371,47.23100547790527,36.87155380249023,470.8583557128906,60970.176,40.67133,2000
crc,crc_242,REF,CRC,50,spatialprop,Myeloid,0.4492196878751501,0.52083176,0.02,1.0,0.02,0.76,0.08174584036653001,40.763793754577634,51.50467987060547,37.75568771362305,421.32042541503904,12209.427,25.58034,2000
crc,crc_242,REF,CRC,50,spatialprop,T_cell,0.6339015606242497,0.6745645,0.06,1.0,0.06,0.84,0.5001540832049307,37.518215370178225,51.262997436523435,39.95151863098145,496.2602478027344,9841.364,31.992144,2000
crc,crc_231,REF,CRC,50,spatialprop,Endothelial,0.5014645858343336,0.822625,0.04,1.0,0.04,0.3,0.7333333333333333,23.95870723724365,38.18339157104492,35.07908477783203,1352.6166748046876,2295.9368,41.245167,2000
crc,crc_231,REF,CRC,50,spatialprop,Epithelial,0.4514285714285714,0.53037107,0.0,0.0,0.0,0.82,0.9635536123853211,18.00071620941162,33.200521850585936,20.30528144836426,437.24037170410156,44997.027,37.304302,2000
crc,crc_231,REF,CRC,50,spatialprop,Fibroblast,-0.508859543817527,-0.50475883,0.04,0.0,0.0,0.24,0.7097305973710468,28.75543384552002,42.77955169677735,43.30723648071289,1452.1062255859374,61669.96,50.32717,2000
crc,crc_231,REF,CRC,50,spatialprop,Myeloid,0.3840096038415366,0.22283079,0.0,0.0,0.0,0.56,0.8373522458628841,28.537853240966797,43.20192031860351,36.68458290100098,958.5464294433593,4010.0947,39.73783,2000
crc,crc_231,REF,CRC,50,spatialprop,T_cell,-0.14141656662665067,-0.1991357,0.02,1.0,0.02,0.32,0.6779503825643404,26.843495750427245,40.995476150512694,43.069872283935545,1592.4747192382813,9460.985,45.665688,2000
crc,crc_210,REF,CRC,50,spatialprop,Endothelial,0.7781512605042016,0.93179053,0.1,1.0,0.1,0.58,0.852441085810878,29.7079647064209,44.4828125,31.256946754455566,667.6377685546875,17878.818,42.83132,2000
crc,crc_210,REF,CRC,50,spatialprop,Epithelial,0.6157503001200479,0.6562815,0.12,1.0,0.12,0.8,0.27130728731568005,17.090341567993164,27.090390014648438,17.398328590393067,349.2504089355469,174184.23,107.6748,2000
crc,crc_210,REF,CRC,50,spatialprop,Fibroblast,0.3090036014405762,0.61280674,0.08,1.0,0.08,0.72,0.23513689229213322,28.26893844604492,43.17479782104492,27.335786437988283,541.2078369140625,77073.98,52.926632,2000
crc,crc_210,REF,CRC,50,spatialprop,Myeloid,0.2533973589435774,0.3474117,0.0,0.0,0.0,0.42,0.6521459081971659,36.592977905273436,51.45121269226074,33.706757354736325,510.952294921875,69664.22,60.110264,2000
crc,crc_210,REF,CRC,50,spatialprop,T_cell,0.6047058823529412,0.68865514,0.04,1.0,0.04,0.76,0.7675287936956962,30.781291198730468,45.617871856689455,30.951765632629396,495.2540222167969,22465.64,35.8025,2000
crc,crc_221,REF,CRC,50,spatialprop,Endothelial,0.28585834333733495,0.34812856,0.34,1.0,0.34,1.0,0.9321234119782215,33.80280456542969,45.99307022094727,33.3208366394043,515.1347290039063,16118.428,68.34109,2000
crc,crc_221,REF,CRC,50,spatialprop,Epithelial,0.6980552220888354,0.6778207,0.04,1.0,0.04,0.94,0.4523285351397121,15.554837036132813,33.9120491027832,16.68811674118042,223.00609436035157,68486.55,49.29898,2000
crc,crc_221,REF,CRC,50,spatialprop,Fibroblast,0.5071308523409364,0.5241844,0.04,1.0,0.04,0.64,0.9433563071004969,32.55440807342529,43.50717658996582,30.657745361328125,511.316015625,70525.695,51.562992,2000
crc,crc_221,REF,CRC,50,spatialprop,Myeloid,0.2673229291716686,0.46413267,0.3,1.0,0.3,1.0,0.9424915824915825,35.12300758361816,43.65439453125,30.093929481506347,505.18621215820315,16712.164,64.11759,2000
crc,crc_221,REF,CRC,50,spatialprop,T_cell,0.2737575030012005,0.2848434,0.02,1.0,0.02,0.52,0.889100190171154,32.69183502197266,44.03128623962402,33.292047119140626,583.1554260253906,23840.738,45.45299,2000
crc,crc_120,REF,CRC,50,spatialprop,Endothelial,0.5541896758703482,0.53305674,0.02,1.0,0.02,0.68,0.29662946304625465,40.418758964538576,57.66215934753418,35.9883674621582,336.8815490722656,45557.344,47.97418,2000
crc,crc_120,REF,CRC,50,spatialprop,Epithelial,0.33771908763505404,0.1685559,0.04,1.0,0.04,0.76,0.24770848142466984,25.267815780639648,35.63683929443359,23.86724395751953,255.93478698730468,470847.06,32.709274,2000
crc,crc_120,REF,CRC,50,spatialprop,Fibroblast,0.05133253301320528,-0.03040401,0.0,0.0,0.0,0.5,0.4809452934355584,22.37462043762207,38.89167404174805,22.17972412109375,364.5617156982422,247561.88,30.69186,2000
crc,crc_120,REF,CRC,50,spatialprop,Myeloid,0.4600720288115246,0.45420104,0.04,1.0,0.04,0.78,0.3929754964804915,38.08788070678711,55.00787887573242,35.104092025756835,348.5344482421875,127459.03,30.753996,2000
crc,crc_120,REF,CRC,50,spatialprop,T_cell,0.34424969987995196,0.40886372,0.02,1.0,0.02,0.76,0.9450975816097319,40.793873977661136,57.48099021911621,32.41575317382812,292.25819396972656,105407.695,24.742014,2000
