dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,prop,n_pairs,nb_deviance
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,spatialprop_edge_pert,glutamatergic neuron,0.5877070828331332,0.7156393,0.0,0.0,0.0,0.94,0.7560041768186565,30.46636085510254,45.05262756347656,24.611358833312988,572.941455078125,13555.004,19.454988,1.0,2873,6.805975999062319
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,glutamatergic neuron,0.5269147659063625,0.45606554,0.0,0.0,0.0,0.84,0.31072210065645517,30.40799045562744,45.595843124389646,21.977597618103026,450.0820678710937,975.92444,33.496296,1.0,457,7.8058974829613055
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,spatialprop_edge_pert,GABAergic neuron,0.7167038826527431,0.7321669,0.02,1.0,0.02,0.76,0.4144222415291051,29.185694313049318,44.39612731933594,22.817658996582033,496.51848754882815,1304.3539,109.726295,1.0,272,10.650915294400832
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,GABAergic neuron,0.7056422569027611,0.70084,0.0,0.0,0.0,0.88,0.6010230179028133,24.05916748046875,38.0598388671875,17.22052059173584,383.0395172119141,389.51215,75.011375,1.0,272,6.108431545832692
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,spatialprop_edge_pert,astrocyte,0.7256182472989194,0.7451808,0.04,1.0,0.04,0.9,0.04057133985405993,38.225005340576175,47.49543380737305,23.144108390808107,605.4609802246093,2342.93,32.340668,1.0,1017,3.247216855419815
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,astrocyte,0.6472509003601441,0.7026592,0.06,1.0,0.06,0.9,0.6551297898640297,24.932590866088866,36.13699722290039,18.419696044921874,522.805126953125,1879.143,51.375927,1.0,809,3.0764461620766657
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,spatialprop_edge_pert,oligodendrocyte,0.7335894357743098,0.66360545,0.1,0.8,0.08,0.94,0.997364953886693,44.200442504882815,52.379621505737305,23.364406204223634,657.9074829101562,2203.1267,54.23928,1.0,759,3.373689965275267
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,oligodendrocyte,-0.10415366146458584,0.13658245,0.0,0.0,0.0,0.82,0.22883858141652952,35.03350486755371,39.91861419677734,20.301967239379884,392.8312927246094,4414.447,33.562374,1.0,1577,2.7197267465141595
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,spatialprop_edge_pert,endothelial cell,0.8717887154861945,0.83933413,0.08,1.0,0.08,0.94,0.9993690851735016,37.9194995880127,45.787990951538085,24.013525772094727,563.6796264648438,1543.1841,57.54816,1.0,764,4.636068323526725
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,endothelial cell,0.36509003601440576,0.83869714,0.14,1.0,0.14,0.94,0.032467532467532464,32.21279296875,42.92275466918945,25.73099765777588,704.3038146972656,663.7042,112.65893,1.0,308,4.916609130528226
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,spatialprop_edge_pert,glutamatergic neuron,0.6396638655462185,0.7404847,0.0,0.0,0.0,0.96,0.4057019185937783,32.12912139892578,46.74052085876465,23.332451629638673,456.71441040039065,11847.629,13.686614,1.0,3521,6.168635641077167
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,glutamatergic neuron,0.4473949579831933,0.63880444,0.02,1.0,0.02,0.78,0.4912,27.29061050415039,44.59440460205078,21.858588409423827,449.1356201171875,990.32776,31.986378,1.0,625,6.218142527164944
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,spatialprop_edge_pert,GABAergic neuron,0.5028091236494597,0.5850992,0.1,0.8,0.08,0.82,0.9990393852065321,30.94281635284424,46.47007446289062,23.62337532043457,453.33082580566406,1113.8094,53.260773,1.0,467,7.128608880789207
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,GABAergic neuron,0.525954381752701,0.66591287,0.06,1.0,0.06,0.62,0.8154897494305239,23.33463935852051,40.18539161682129,18.13670539855957,412.02325439453125,953.7489,43.24346,1.0,439,6.031618691942622
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,spatialprop_edge_pert,astrocyte,0.664249699879952,0.60323477,0.04,1.0,0.04,0.86,0.04804281633549926,43.448398208618165,49.00764503479004,23.914181518554688,578.786083984375,3116.0056,33.562187,1.0,1230,2.2781072913495555
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,astrocyte,0.621032412965186,0.6550447,0.06,1.0,0.06,0.84,0.7995712754555199,24.629200744628907,38.13016128540039,17.253031921386718,481.8124206542969,2029.0167,29.404661,1.0,933,1.7689958231490996
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,spatialprop_edge_pert,oligodendrocyte,0.779015606242497,0.8273143,0.06,1.0,0.06,0.98,0.9984076433121019,48.835967254638675,56.342552185058594,25.512438201904295,678.7450317382812,1716.1561,36.876987,1.0,628,3.392605801830127
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,oligodendrocyte,0.33522208883553417,0.4264855,0.02,1.0,0.02,0.96,0.39150267275630657,31.072429275512697,36.10902328491211,19.162382125854492,322.11180114746094,4868.694,17.791925,1.0,1769,2.482491014087552
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,spatialprop_edge_pert,endothelial cell,0.7389675870348139,0.77906746,0.04,1.0,0.04,0.9,0.023265034660936743,47.57929458618164,54.68613815307617,24.50656661987305,559.0971496582031,2817.116,37.80577,1.0,996,3.2183509294540915
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,endothelial cell,0.3341656662665066,0.84741575,0.2,1.0,0.2,0.98,0.5909090909090909,29.85614128112793,47.0167854309082,23.816700172424316,578.5028564453125,843.3726,102.79461,1.0,374,3.0871025074107705
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,spatialprop_edge_pert,glutamatergic neuron,0.5592797118847539,0.63172436,0.06,1.0,0.06,0.96,0.22272896749680868,34.638586807250974,46.15147857666015,25.66459789276123,538.8545043945312,10972.262,40.099728,1.0,2942,8.656457326673184
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,glutamatergic neuron,0.5289315726290517,0.5582867,0.04,1.0,0.04,0.8,0.5722964763061968,26.115573501586915,42.24883270263672,21.683502006530762,475.59035034179686,1338.6377,42.0272,1.0,823,7.020394020464803
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,spatialprop_edge_pert,GABAergic neuron,0.6568547418967586,0.7510663,0.02,1.0,0.02,0.82,0.36105263157894735,30.57694606781006,44.77803268432617,21.66103343963623,495.7773376464844,977.28784,57.284233,1.0,340,8.695404070719817
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,GABAergic neuron,0.5945258103241297,0.7594657,0.06,1.0,0.06,0.88,0.9947643979057592,24.76717758178711,41.37616729736328,21.660503387451172,517.1690673828125,343.97244,88.07963,1.0,191,8.983026612202849
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,spatialprop_edge_pert,astrocyte,0.6233373349339735,0.7682861,0.04,1.0,0.04,0.98,0.049922859437864696,36.104353713989255,45.37579231262207,21.382452774047852,577.6840454101563,2410.0503,27.688526,1.0,1012,3.6586015821043216
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,astrocyte,0.7327250900360143,0.7560135,0.06,1.0,0.06,0.94,0.667635655263624,23.49223747253418,34.74314994812012,16.73220043182373,475.51195068359374,1949.448,33.452553,1.0,1012,3.1368745630086607
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,spatialprop_edge_pert,oligodendrocyte,0.3928451380552221,0.6609912,0.1,1.0,0.1,0.96,0.17679558011049723,46.217210388183595,54.30409240722656,19.745600318908693,626.8496520996093,1218.0957,108.78993,1.0,543,3.3601635414247415
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,oligodendrocyte,0.3134213685474189,0.58204937,0.04,1.0,0.04,0.84,0.18891566265060242,34.84276695251465,42.39029769897461,19.463539695739748,446.3380554199219,3625.1135,27.563213,1.0,1328,2.7441187948931107
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,spatialprop_edge_pert,endothelial cell,0.7856422569027611,0.8782027,0.08,1.0,0.08,0.98,0.05779763179634673,41.26773643493652,49.1810848236084,21.625032043457033,532.9618347167968,1258.9066,71.67251,1.0,667,4.5095879861569825
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,spatialprop_edge_pert,endothelial cell,0.4164705882352941,0.83767444,0.1,1.0,0.1,0.94,0.03927492447129909,30.488043594360352,42.71135711669922,23.162741661071777,604.1650207519531,852.1584,159.54709,1.0,331,5.512607527393949
