dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb,nb_deviance
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,spatialprop,glutamatergic neuron,0.6142136854741896,0.72869337,0.0,0.0,0.0,0.88,0.548851269649335,39.012915802001956,51.810628509521486,33.13372611999512,892.1089416503906,17829.945,44.098156,200,11.848422738781421
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,spatialprop,glutamatergic neuron,0.5724369747899161,0.52179617,0.0,0.0,0.0,0.72,0.5404814004376368,40.68103218078613,52.915171432495114,33.00735244750977,856.4876403808594,1031.6145,59.48092,200,14.214580972590024
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,spatialprop,GABAergic neuron,0.6581172139828632,0.6728749,0.02,1.0,0.02,0.68,0.9991311902693311,34.09315490722656,45.98072624206543,29.71685848236084,653.5836486816406,2362.7476,169.07387,200,21.28166516666106
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,spatialprop,GABAergic neuron,0.7037214885954381,0.7101661,0.0,0.0,0.0,0.74,0.11684782608695653,31.559021186828613,46.262302780151366,25.66342258453369,542.5287475585938,794.3389,75.56358,200,6.815811658490792
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,spatialprop,astrocyte,0.721968787515006,0.7175933,0.06,1.0,0.06,0.86,0.0035087719298245615,53.017866897583005,58.3564453125,32.4298698425293,846.5038146972656,3864.4792,59.30648,200,6.965600929662935
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,spatialprop,astrocyte,0.5413205282112845,0.596794,0.06,1.0,0.06,0.84,0.002472187886279357,53.784794616699216,57.923377227783206,32.757798767089845,858.3599060058593,1744.8446,62.794346,200,5.854118724434503
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,spatialprop,oligodendrocyte,0.6979591836734693,0.6514088,0.04,1.0,0.04,0.96,0.997364953886693,49.70661087036133,58.34993324279785,30.65775547027588,816.6793579101562,2285.542,55.26071,200,9.210680330007762
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,spatialprop,oligodendrocyte,-0.09474189675870348,0.04078362,0.02,1.0,0.02,0.72,0.004774146162320969,54.4004093170166,62.783524703979495,41.86790313720703,1267.4333251953126,8581.638,56.29148,200,11.966404453536322
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,spatialprop,endothelial cell,0.7817714713290892,0.77577025,0.06,1.0,0.06,0.92,0.01892744479495268,51.669735717773435,57.14375610351563,33.233053588867186,763.3424987792969,3798.5225,100.56707,200,9.50023025608697
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,spatialprop,endothelial cell,0.2729891956782713,0.78548366,0.12,1.0,0.12,0.94,0.9967637540453075,44.767386245727536,49.45528869628906,31.22675666809082,807.7553955078125,537.1155,98.75241,200,7.8706549014498055
