sid,model_name,holdout_celltype,spearman,pearson,precision,edistance_cells,edistance_latents,edistance_local,mixing_index
120,baseline,Endothelial,0.591499287482187,0.665668733955578,0.165,7.813582381519959,,10.562345340912668,0.5698792394847353
120,baseline,Epithelial,0.47202280057001433,0.20582599861098233,0.03,6.2241205602978456,,5.466480091385686,0.9254637863979058
120,baseline,Fibroblast,0.40460661516537927,0.14325742899188254,0.15,8.479629915603958,,10.999038398215115,0.6268850506268419
120,baseline,Myeloid,0.45233480837020934,0.39618759295142614,0.195,10.854123524613666,,14.149104696749072,0.7038823444038607
120,baseline,T_cell,0.6309187729693244,0.6127467309564857,0.335,17.86564692006699,,20.198926212457884,0.8069969187517232
120,cellina-ablated,Endothelial,0.5681587039675993,0.7110072470679284,0.175,10.074150371751546,0.31279420852661133,3.5627222706492345,0.6192798879069878
120,cellina-ablated,Epithelial,0.7510327758193955,0.723311462017012,0.255,17.089959320222825,0.2939785003662109,9.204652389188642,0.93268638505296
120,cellina-ablated,Fibroblast,0.6050386259656492,0.6081240743387656,0.27,12.154683519256277,0.20013885498046874,6.939596226262614,0.6803795485160283
120,cellina-ablated,Myeloid,0.6807740193504839,0.7058402421080618,0.275,10.345947751116437,0.2140871047973633,3.639535885728243,0.8909603936862426
120,cellina-ablated,T_cell,0.7952418810470262,0.8259101015938591,0.45,7.701578271605413,0.25860118865966797,1.477816475908749,0.8293673887938324
120,cellina,Endothelial,0.5822425560639016,0.796603904773654,0.205,10.14421894292308,0.401315975189209,4.001700162347697,0.6494408390380948
120,cellina,Epithelial,0.822547063676592,0.8108186986477228,0.245,17.91787899919519,0.3883522033691406,10.093980486297097,0.9393873592280131
120,cellina,Fibroblast,0.7077206930173257,0.657832736723308,0.245,12.473167303442537,0.2566505432128906,7.064543004750054,0.6516854440929121
120,cellina,Myeloid,0.783628590714768,0.8110342179780545,0.37,10.443891508806816,0.25071325302124026,3.723779907661264,0.88318984940339
120,cellina,T_cell,0.8653506337658442,0.8856004764067519,0.48,7.907236009338076,0.28536186218261717,1.711006364035634,0.8156932970551294
120,cellina-graph,Endothelial,0.7908283313325329,0.8054617343864385,,9.035324843707818,0.08164424896240234,12.617384045440465,0.5915619646034947
120,cellina-graph,Epithelial,0.7555822328931572,0.7547074472461487,,7.899188784688119,0.09763164520263672,9.883698278031595,0.49717544862644547
120,cellina-graph,Fibroblast,0.47092436974789914,0.43583986936604796,,8.446431632138005,0.09074230194091797,12.44330257880393,0.5897856579387495
120,cellina-graph,Myeloid,0.43270108043217287,0.451160892312766,,9.143924694168252,0.09170722961425781,13.544914403646507,0.5144342132802542
120,cellina-graph,T_cell,0.8245378151260503,0.8198633276798646,,11.986210639805787,0.09752178192138672,15.93003555267309,0.7209529316903102
120,cpa,Endothelial,0.35202280057001434,0.45783116068249097,0.185,10.347624716354957,10.708256244659424,4.031251977779153,0.6248369084407167
120,cpa,Epithelial,0.23470186754668868,0.24565078050316366,0.15,17.67197349577483,12.178925704956054,9.358598453205472,0.8992697049251428
