sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,mixing_index,edistance_global,edistance_local,rmse
C57BL6J-2.036,baseline,GABAergic neuron_Fiber_tracts,200,0.06886379714198684,0.23011000454425812,0.115,0.21739130434782608,0.025,0.019021739130434784,14.386200332641602,14.838829135894775,521.42822265625
C57BL6J-2.036,baseline,GABAergic neuron_Isocortex,200,0.4608255403139993,0.49789559841156006,0.165,0.696969696969697,0.115,0.2936576889661164,23.667891883850096,27.172965621948244,1234.5870361328125
C57BL6J-2.036,baseline,astrocyte_Fiber_tracts,200,0.3993753841504009,0.3090895712375641,0.21,0.8571428571428571,0.18,0.06970014086852312,17.304277992248537,18.63716869354248,1589.633544921875
C57BL6J-2.036,baseline,astrocyte_Isocortex,200,0.7011635420249283,0.6425621509552002,0.28,0.9285714285714286,0.26,0.0,36.40418891906738,38.58438415527344,2399.22265625
C57BL6J-2.036,baseline,endothelial cell_Fiber_tracts,200,0.2655265937381974,0.31189796328544617,0.185,0.9459459459459459,0.175,0.0032362459546925564,17.183490562438966,17.923577880859376,1034.2969970703125
C57BL6J-2.036,baseline,endothelial cell_Isocortex,200,0.7168400627465039,0.6213054656982422,0.3,0.9333333333333333,0.28,0.00883280757097792,42.882109832763675,45.39241485595703,1670.4188232421875
C57BL6J-2.036,baseline,glutamatergic neuron_Fiber_tracts,200,0.005190129753243832,-0.00945232342928648,0.235,0.5531914893617021,0.13,0.9480403454481892,19.075430870056152,21.094572639465333,4255.900390625
C57BL6J-2.036,baseline,glutamatergic neuron_Isocortex,200,0.37379284482112063,0.3585590422153473,0.23,0.6739130434782609,0.155,0.008706166868198308,22.366712951660155,26.343609619140626,12212.248046875
C57BL6J-2.036,baseline,oligodendrocyte_Fiber_tracts,200,0.4211265281632041,0.3309287130832672,0.225,0.8666666666666667,0.195,0.02644142489900845,18.37741641998291,20.594265174865722,2341.770263671875
C57BL6J-2.036,baseline,oligodendrocyte_Isocortex,200,0.6669406735168381,0.4461899995803833,0.26,0.9423076923076923,0.245,0.10408432147562584,39.050141143798825,39.85053405761719,3962.91796875
C57BL6J-2.036,cellina-ablated,GABAergic neuron_Fiber_tracts,200,0.758631965799145,0.9133934378623962,0.565,1.0,0.565,0.8641304347826086,10.489899921417237,9.157945728302002,463.71270751953125
C57BL6J-2.036,cellina-ablated,GABAergic neuron_Isocortex,200,0.8294052351308785,0.9169661998748779,0.51,1.0,0.51,0.5606314202483773,14.349355030059815,14.539484977722168,1108.1614990234375
C57BL6J-2.036,cellina-ablated,astrocyte_Fiber_tracts,200,0.657577439435986,0.4768676161766052,0.46,0.9239130434782609,0.425,0.6037498495903387,9.631881713867188,8.219190216064453,2357.49560546875
C57BL6J-2.036,cellina-ablated,astrocyte_Isocortex,200,0.8726303157578941,0.8872662782669067,0.61,1.0,0.61,0.9540112818920458,8.677060890197755,6.72645149230957,1948.318359375
C57BL6J-2.036,cellina-ablated,endothelial cell_Fiber_tracts,200,0.530999224105349,0.6557648777961731,0.5,0.76,0.38,0.9539216184618512,4.8942664623260494,2.417024827003479,2067.047119140625
C57BL6J-2.036,cellina-ablated,endothelial cell_Isocortex,200,0.925305632640816,0.9263415932655334,0.725,1.0,0.725,0.9215279039423919,4.58997278213501,0.9109104156494141,1943.6630859375
C57BL6J-2.036,cellina-ablated,glutamatergic neuron_Fiber_tracts,200,0.7477656941423536,0.7354186177253723,0.29,0.9827586206896551,0.285,0.35847980252269496,18.776271247863768,19.57729377746582,7470.67138671875
C57BL6J-2.036,cellina-ablated,glutamatergic neuron_Isocortex,200,0.8822995574889374,0.8930788040161133,0.405,0.9876543209876543,0.4,0.023066148534641204,19.726824951171874,19.387870025634765,10924.1611328125
C57BL6J-2.036,cellina-ablated,oligodendrocyte_Fiber_tracts,200,0.6675421885547139,0.7042596936225891,0.36,0.9027777777777778,0.325,0.7081860503459224,2.077395510673523,1.2779982328414916,4246.64697265625
C57BL6J-2.036,cellina-ablated,oligodendrocyte_Isocortex,200,0.7586469661741545,0.529488205909729,0.55,0.9454545454545454,0.52,0.8233742124729415,5.984428453445434,2.905730724334717,4517.69677734375
C57BL6J-2.036,cellina,GABAergic neuron_Fiber_tracts,200,0.883915097877447,0.9515529274940491,0.72,1.0,0.72,0.8749999999999999,8.108975601196288,8.21501054763794,524.5494384765625
C57BL6J-2.036,cellina,GABAergic neuron_Isocortex,200,0.868094202355059,0.9735172986984253,0.615,1.0,0.615,0.682015638575152,12.018824291229247,12.075936317443848,948.2781982421875
C57BL6J-2.036,cellina,astrocyte_Fiber_tracts,200,0.6802775069376735,0.49389269948005676,0.465,0.9247311827956989,0.43,0.7998962021408612,8.287636280059814,7.278659152984619,2262.650146484375
C57BL6J-2.036,cellina,astrocyte_Isocortex,200,0.8772699317482938,0.8923466801643372,0.525,1.0,0.525,0.2529296693060084,8.744960975646972,7.1515881538391115,2364.67626953125
C57BL6J-2.036,cellina,endothelial cell_Fiber_tracts,200,0.5105799559664186,0.6202840209007263,0.515,0.8252427184466019,0.425,0.8371583727274268,4.5449950218200685,2.824600410461426,1953.10546875
C57BL6J-2.036,cellina,endothelial cell_Isocortex,200,0.9175564389109729,0.9267283082008362,0.725,1.0,0.725,0.6320618692916247,4.963742733001709,0.9646523654460907,2008.9251708984375
C57BL6J-2.036,cellina,glutamatergic neuron_Fiber_tracts,200,0.9016545413635342,0.9436624050140381,0.705,1.0,0.705,0.9910713265664403,14.162775707244872,15.50745964050293,7760.5244140625
C57BL6J-2.036,cellina,glutamatergic neuron_Isocortex,200,0.9295642391059777,0.9644197821617126,0.715,1.0,0.715,0.7419502174058522,15.721764850616456,15.048106002807618,8069.76123046875
C57BL6J-2.036,cellina,oligodendrocyte_Fiber_tracts,200,0.8066211655291384,0.7515232563018799,0.595,0.9747899159663865,0.58,0.7340189759560111,2.694531798362732,0.700528597831726,4613.99169921875
C57BL6J-2.036,cellina,oligodendrocyte_Isocortex,200,0.8127698192454813,0.5734140872955322,0.575,0.9739130434782609,0.56,0.8920224271331217,5.614620542526245,3.0318992376327514,4527.1279296875
C57BL6J-2.036,cellina-graph,GABAergic neuron_Fiber_tracts,200,0.7285877146928674,0.9333229660987854,0.66,1.0,0.66,0.8668478260869564,10.599436187744141,9.66197681427002,590.4854125976562
C57BL6J-2.036,cellina-graph,GABAergic neuron_Isocortex,200,0.8818000450011252,0.9808865189552307,0.72,1.0,0.72,0.6959165942658557,12.13175687789917,12.537588787078857,910.1688232421875
C57BL6J-2.036,cellina-graph,astrocyte_Fiber_tracts,200,0.6798994974874373,0.4871387779712677,0.52,0.9230769230769231,0.48,0.7675620751306893,9.029450035095214,7.762772846221924,2330.70849609375
C57BL6J-2.036,cellina-graph,astrocyte_Isocortex,200,0.8820715517887948,0.9094419479370117,0.65,1.0,0.65,0.9111670030533562,8.31944007873535,6.897160243988037,1990.5029296875
C57BL6J-2.036,cellina-graph,endothelial cell_Fiber_tracts,200,0.5274831348845849,0.6424230337142944,0.465,0.8602150537634409,0.4,0.7183068164489402,4.727520513534546,2.9597512006759645,1997.5557861328125
C57BL6J-2.036,cellina-graph,endothelial cell_Isocortex,200,0.9332333308332709,0.9355267882347107,0.745,1.0,0.745,0.8304119114076667,4.738038969039917,0.9707824110984802,1906.357177734375
C57BL6J-2.036,cellina-graph,glutamatergic neuron_Fiber_tracts,200,0.8298837470936774,0.8357812166213989,0.445,1.0,0.445,0.4284323753713934,18.069606018066406,17.669741249084474,7919.41455078125
C57BL6J-2.036,cellina-graph,glutamatergic neuron_Isocortex,200,0.9286627165679143,0.9612614512443542,0.65,1.0,0.65,0.7943629362479593,15.626713466644286,14.59779224395752,8373.6298828125
C57BL6J-2.036,cellina-graph,oligodendrocyte_Fiber_tracts,200,0.7813065326633166,0.7446268200874329,0.54,0.9907407407407407,0.535,0.7668832936555159,2.777323365211487,0.8201384544372559,4654.56005859375
C57BL6J-2.036,cellina-graph,oligodendrocyte_Isocortex,200,0.7889042226055651,0.5510472655296326,0.585,0.9487179487179487,0.555,0.7841400968968446,5.396428060531616,3.06475191116333,4599.876953125
C57BL6J-2.036,cpa,GABAergic neuron_Fiber_tracts,200,0.7411205280132005,0.9167343378067017,0.565,1.0,0.565,0.8678069053708439,10.517988395690917,9.245045280456543,501.1759948730469
C57BL6J-2.036,cpa,GABAergic neuron_Isocortex,200,0.8291817295432387,0.9417098760604858,0.525,1.0,0.525,0.523061787703787,13.57844944000244,13.818760776519776,1041.8603515625
C57BL6J-2.036,cpa,astrocyte_Fiber_tracts,200,0.6397674941873548,0.4759608805179596,0.45,0.9222222222222223,0.415,0.6502717097354856,9.59822702407837,7.804002285003662,2240.22802734375
C57BL6J-2.036,cpa,astrocyte_Isocortex,200,0.8700067501687544,0.8776496052742004,0.575,1.0,0.575,0.9495150856492264,8.769843578338623,6.96908392906189,1935.9058837890625
C57BL6J-2.036,cpa,endothelial cell_Fiber_tracts,200,0.49163672528193864,0.6375732421875,0.45,0.7111111111111111,0.32,0.4374989410189939,4.390941905975342,2.512764811515808,1992.8541259765625
C57BL6J-2.036,cpa,endothelial cell_Isocortex,200,0.9062176554413861,0.9307849407196045,0.705,1.0,0.705,0.8537640180355757,4.572036838531494,1.024235689640045,1856.4825439453125
C57BL6J-2.036,cpa,glutamatergic neuron_Fiber_tracts,200,0.8267711692792321,0.8606622219085693,0.535,1.0,0.535,0.7818747091497766,17.357034301757814,17.257342529296874,7965.5341796875
C57BL6J-2.036,cpa,glutamatergic neuron_Isocortex,200,0.8903007575189381,0.9232485890388489,0.565,1.0,0.565,0.39863946150857904,17.42585849761963,15.985871696472168,9008.03125
C57BL6J-2.036,cpa,oligodendrocyte_Fiber_tracts,200,0.7499077476936924,0.7245140075683594,0.5,0.96,0.48,0.5737901448265568,2.273631727695465,0.6392332911491394,4290.53857421875
C57BL6J-2.036,cpa,oligodendrocyte_Isocortex,200,0.7621915547888699,0.5166560411453247,0.595,0.957983193277311,0.57,0.8410851644564528,6.024151086807251,2.576473069190979,4432.34619140625
C57BL6J-2.036,scgen,GABAergic neuron_Fiber_tracts,200,0.7344843621090529,0.8963555097579956,0.175,0.9714285714285714,0.17,0.21755115089514065,9.178530979156495,6.0018007278442385,318.4124450683594
C57BL6J-2.036,scgen,GABAergic neuron_Isocortex,200,0.6879156978924474,0.8671786785125732,0.215,0.9534883720930233,0.205,0.3764341748862881,13.917121124267577,16.06184616088867,1255.1416015625
C57BL6J-2.036,scgen,astrocyte_Fiber_tracts,200,0.6397929948248707,0.5136122703552246,0.31,1.0,0.31,0.9008001186261247,4.841262578964233,4.954332447052002,1574.5977783203125
