Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Cell-type Total,Total
Cellina_Basal_0.0,0.5158874,0.18990041754897646,0.033826896367200716,0.48351362,0.99041677,0.96076554,0.25872007,0.42341127294632414,0.20867170817448844,0.8853032574912062,0.5473743758275673,0.44270901679992675,0.484575160410983
Cellina_Basal_1.0,0.4647749,0.4895183268932258,0.1431632624011596,0.53105104,1.0,0.7832176,0.15098786,0.5391913372960278,0.7475727449733914,0.34050562239120297,0.5122950354259903,0.5257015228271484,0.5203389278666852
Cellina_Basal_10.0,0.4647637,0.4895423488451386,0.14314802331765317,0.53092355,1.0,0.7832237,0.15033333,0.538689824076139,0.746672473209759,0.3386154279635983,0.5115069517576629,0.5256755352020264,0.520008101824281
Cellina_Shifted_0.0,0.49774912,0.20560444353836643,0.0400892224051789,0.4983162,0.99241394,0.934938,0.11709825,0.3724284896098013,0.242258559687479,0.6634426509360184,0.46603319712673785,0.4468346118927002,0.45451404598631523
Cellina_Shifted_1.0,0.47586596,0.45483595035847774,0.12836726540742874,0.5083569,1.0,0.783705,0.0014956295,0.3311438212237186,0.6846033372189245,0,0.3601895508596712,0.5134852409362793,0.4521669649056361
Cellina_Shifted_10.0,0.47592288,0.4550087988211222,0.12851180486148026,0.5083098,1.0,0.78381795,0.0015111616,0.3296098080845447,0.684980175186534,0,0.35998381734818546,0.5135506629943848,0.45212392473590507
Cellina_Spatial_0.0,0.478155,0.08652942298804303,0.01407382765508718,0.4925949,0.97522426,0.8858065,0.07210568,0.36266980074465266,0.13195789339839795,0.4286818069845808,0.37624434155548236,0.40931549072265627,0.3960870310557867
Cellina_Spatial_1.0,0.49255592,0.08304738488852403,-0.0005639040902510533,0.480447,0.9854899,0.7662932,0.00024102628,0.18166321644562486,0.12458300292841973,0,0.21455609764601863,0.40819525718688965,0.33073959337054126
Cellina_Spatial_10.0,0.4925294,0.08298112745193546,-0.0004994589811048308,0.48047802,0.9854791,0.7663686,0.00024448335,0.18314206125829213,0.12233210325844408,0,0.21441745806356455,0.40819363594055175,0.33068316478975684
SCANVI,0.52432245,0.5225807287907249,0.17151164658846133,0.6976775,1.0,0.7365888,0.12256679,0.5980658566632385,0.9050002556710842,0.06633588173631011,0.485711505953714,0.5832184791564942,0.544215689875382
scVI,0.5329269,0.33369716698557944,0.08202269928770027,0.489811,0.99942803,0.88450056,0.04435117,0.44644079563251376,0.6027843868966767,0.3953717347964311,0.4746897281993162,0.4875771522521973,0.48242218263104486
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
