cell_type,label,pearson,spearman
Endothelial,CRC_global,0.6648,0.6734
Endothelial,CRC3,0.6637,0.5551
Endothelial,CRC2,0.8697,0.831
Endothelial,CRC1,0.8259,0.6965
Endothelial,CRC4,0.6419,0.4923
Epithelial,CRC_global,0.8205,0.7626
Epithelial,CRC3,0.9249,0.883
Epithelial,CRC2,0.7755,0.6758
Epithelial,CRC1,0.8151,0.8632
Epithelial,CRC4,0.9527,0.9135
Fibroblast,CRC_global,0.7564,0.7585
Fibroblast,CRC3,0.6682,0.5938
Fibroblast,CRC2,0.8889,0.8732
Fibroblast,CRC1,0.9119,0.8527
Fibroblast,CRC4,0.645,0.651
Myeloid,CRC_global,0.4204,0.3782
Myeloid,CRC3,0.4952,0.5118
Myeloid,CRC2,0.9054,0.8877
Myeloid,CRC1,0.6754,0.6501
Myeloid,CRC4,0.4187,0.2905
T_cell,CRC_global,0.4435,0.0764
T_cell,CRC3,0.4446,-0.0229
T_cell,CRC2,0.6949,0.6504
T_cell,CRC1,0.6042,0.5176
T_cell,CRC4,0.4343,0.0104
