dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,mixing_index,edistance_global,edistance_local,rmse
crc,crc_210,REF,CRC,200,mintflow,Endothelial,0.8017460436510915,0.9749317202758373,0.33,1.0,0.33,0.32703589539624145,20.992943591144886,24.85368021777658,31003.789755526697
crc,crc_210,REF,CRC,200,mintflow,Epithelial,0.7980499512487813,0.8026769301310207,0.315,0.9523809523809523,0.3,0.5522215530472286,22.979115433766474,25.1572838184631,595564.254423164
crc,crc_210,REF,CRC,200,mintflow,Fibroblast,0.41302182554563865,0.7785590398009693,0.16,0.9375,0.15,0.5917551590454863,21.814132837869362,24.757382639014068,123993.51941664712
crc,crc_210,REF,CRC,200,mintflow,Myeloid,0.7353408835220883,0.7466995326198558,0.24,1.0,0.24,0.8292426605193572,22.81005179139643,26.445579274394152,90684.00322920215
crc,crc_210,REF,CRC,200,mintflow,T_cell,0.6647341183529588,0.8283347826320571,0.195,1.0,0.195,0.8349161446756921,24.246941501403533,27.15159605991642,31127.59850823825
crc,crc_210,REF,CRC,50,mintflow,Endothelial,0.900408163265306,0.99057320948569,0.56,1.0,0.56,0.33001889231381126,10.17827849220939,13.371676160806118,44807.097333349535
crc,crc_210,REF,CRC,50,mintflow,Epithelial,0.7602881152460984,0.9113980387770284,0.28,1.0,0.28,0.5506042002603306,13.227183447509674,15.951898990132005,864558.1320768174
crc,crc_210,REF,CRC,50,mintflow,Fibroblast,0.4703481392557023,0.886754471311087,0.1,1.0,0.1,0.5918514772809362,13.337713722970667,16.81336093025967,165220.48942459526
crc,crc_210,REF,CRC,50,mintflow,Myeloid,0.6672268907563025,0.6898334868451094,0.26,1.0,0.26,0.8292426605193572,12.78736289246596,16.50807357378751,123686.87280135372
crc,crc_210,REF,CRC,50,mintflow,T_cell,0.7591356542617046,0.8975509236377986,0.3,1.0,0.3,0.8351182056981208,13.220680458444523,15.047862399162725,42475.35151554688
