dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,mixing_index,edistance_global,edistance_local,rmse
crc,crc_231,REF,CRC,200,mintflow,Fibroblast,-0.06394959873996851,-0.13564737298714744,0.28,0.4107142857142857,0.115,0.9056006247017483,28.45927361877971,32.57979478671907,68783.56557122737
crc,crc_231,REF,CRC,200,mintflow,Endothelial,0.7659071476786921,0.9119234336162148,0.375,0.96,0.36,0.598705501618123,23.65378702244713,26.23472661578516,4597.431701914907
crc,crc_231,REF,CRC,200,mintflow,Myeloid,0.5877731943298583,0.5580508176722538,0.245,0.8367346938775511,0.205,0.5791962174940898,23.335841513629667,26.265303334630612,6201.82217880164
crc,crc_231,REF,CRC,200,mintflow,T_cell,0.29483237080927027,0.2678502007340816,0.2,0.7,0.14,0.6413169487595641,25.224445585986285,28.901474286917782,13049.36876539372
crc,crc_231,REF,CRC,200,mintflow,Epithelial,0.7759768994224857,0.7529572429943662,0.335,0.9701492537313433,0.325,0.6294796444954128,22.538556038633367,24.540557359431286,76589.75108644478
crc,crc_231,REF,CRC,50,mintflow,Endothelial,0.7575030012004801,0.9506326981179902,0.32,1.0,0.32,0.5909385113268608,11.53699205582202,12.052499368372008,6065.9014827511155
crc,crc_231,REF,CRC,50,mintflow,Epithelial,0.8273229291716686,0.8682324388338098,0.38,1.0,0.38,0.6294079701834863,11.803009921357155,13.990766589479815,115404.43873659662
crc,crc_231,REF,CRC,50,mintflow,Fibroblast,-0.17963985594237694,-0.31168617435338075,0.2,0.2,0.04,0.90616459155785,16.239668116987115,19.5245002414129,88910.21682558856
crc,crc_231,REF,CRC,50,mintflow,Myeloid,0.4748619447779111,0.538140041482148,0.06,1.0,0.06,0.43215130023640663,10.449887757467843,12.953033815445204,9779.089395104556
crc,crc_231,REF,CRC,50,mintflow,T_cell,0.20758703481392557,0.20266487022298074,0.14,0.42857142857142855,0.06,0.8900996985856712,15.941519488512174,17.365227760084043,16697.90794365064
