dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,mintflow,glutamatergic neuron,0.8489315726290516,0.9745331,0.4,1.0,0.4,0.98,0.03661060802069858,56.99677696228027,56.553259658813474,18.989015960693358,709.2076416015625,28306.254,7.5305824
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,mintflow,glutamatergic neuron,0.5550540216086435,0.8830896,0.42,1.0,0.42,1.0,0.9008,56.920281982421876,58.85038299560547,18.296927070617677,834.0919860839844,2032.4878,3.0927002
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,mintflow,oligodendrocyte,0.5589915966386554,0.56638306,0.28,1.0,0.28,0.48,0.10828025477707007,69.5305679321289,68.30140838623046,18.730403709411622,2019.832421875,2505.9507,122.52449
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,mintflow,oligodendrocyte,0.4101320528211284,0.7515704,0.02,1.0,0.02,0.28,0.04765784114052953,77.64676971435547,77.0615364074707,22.748677253723145,3088.7075439453124,11150.972,25.893583
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,mintflow,astrocyte,0.776422569027611,0.83005875,0.22,1.0,0.22,0.82,0.06177606177606178,68.14266510009766,66.71042709350586,22.549525260925293,1660.6810668945313,5132.9277,17.714468
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,mintflow,astrocyte,0.6581032412965185,0.6839105,0.12,1.0,0.12,0.7,0.639871382636656,68.7762435913086,67.86308288574219,21.915483283996583,1674.6591186523438,3785.5024,26.011248
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,mintflow,GABAergic neuron,0.8679471788715486,0.9149708,0.32,1.0,0.32,0.9,0.40730067243035545,58.4364429473877,57.78610725402832,20.03901023864746,868.2554016113281,3931.891,7.2282734
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,mintflow,GABAergic neuron,0.6449459783913566,0.7908619,0.26,1.0,0.26,0.94,0.3690205011389522,57.046648025512695,58.38115539550781,19.058788299560547,933.5656616210938,1515.3588,10.169987
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,mintflow,endothelial cell,0.8044657863145258,0.8673511,0.34,1.0,0.34,0.62,0.0804140127388535,68.67751770019531,67.2475357055664,21.882874298095704,1667.7433715820312,5089.984,43.220352
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,mintflow,endothelial cell,0.7842016806722689,0.98852605,0.12,0.8333333333333334,0.1,0.14,0.20053475935828877,70.0657241821289,69.91482925415039,20.98992977142334,1526.3851440429687,1721.6866,353.77386
