dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,nb_deviance
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,mintflow,glutamatergic neuron,0.8557503001200479,0.9701111,0.46,1.0,0.46,0.98,0.05133735979292493,56.1471061706543,55.49645919799805,18.565369033813475,769.1243774414063,25684.152,8.227425,1.3912126493638963
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,mintflow,glutamatergic neuron,0.7983193277310925,0.9013943,0.36,1.0,0.36,0.96,0.511543134872418,56.180612564086914,58.30761604309082,18.992284965515136,852.8859741210938,2748.6191,2.9710803,1.4247814931057348
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,mintflow,oligodendrocyte,0.21575030012004803,0.51076096,0.12,0.8333333333333334,0.1,0.22,0.20810313075506445,69.9209373474121,68.88747100830078,15.10574836730957,2006.3986083984375,2303.5007,301.55032,3.4823368888150052
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,mintflow,oligodendrocyte,0.08427370948379351,0.7127281,0.14,0.7142857142857143,0.1,0.38,0.07373493975903614,76.60506744384766,76.55321807861328,19.991714096069337,3199.3822265625,8987.527,35.256493,2.7423571643406564
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,mintflow,astrocyte,0.8105162064825929,0.82273644,0.28,1.0,0.28,0.76,0.9194270367054611,66.78777847290038,64.90925025939941,20.081205940246583,1774.4222900390625,4414.0195,29.389498,2.993788524978225
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,mintflow,astrocyte,0.4676590636254501,0.5121679,0.16,0.875,0.14,0.64,0.6367969494756911,67.80231094360352,67.30507125854493,21.02419834136963,1902.3987182617188,4254.288,76.743095,2.7434078182827886
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,mintflow,GABAergic neuron,0.854501800720288,0.9554878,0.36,1.0,0.36,0.98,0.11157894736842106,58.26234855651855,58.96876411437988,20.039911651611327,1144.0154663085937,3615.2737,7.1149945,2.0325574932204966
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,mintflow,GABAergic neuron,0.6316926770708284,0.71709865,0.34,0.7647058823529411,0.26,0.5,0.5392670157068062,59.903472900390625,61.33655548095703,17.967021942138672,1077.844970703125,720.79395,217.46555,2.661261599901225
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,mintflow,endothelial cell,0.9083793517406963,0.9375039,0.74,1.0,0.74,0.84,0.14463176574977818,67.90233993530273,66.30657958984375,17.41664066314697,1864.4104248046874,4440.119,62.460052,2.9292547273654344
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,mintflow,endothelial cell,0.43759903961584634,0.9907937,0.12,1.0,0.12,0.2,0.1419939577039275,69.99753494262696,68.86118011474609,19.17130489349365,2213.9178955078123,1561.6226,369.12164,4.331100374028977
